"保険者番号","保険者別","税・料別","賦課算定方式","徴収回数(回)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"","公営計","","","","65409207","64.74","10603","0.01","35335007","34.98","273617","0.27","101028434","7649315","3807","135334","16590444","-1321222","75328312"
"","特別区計","","","","50703342","66.06","","","26047008","33.94","","","76750350","5603501","2289","108131","13949311","-1048615","56038503"
"","市町村計","","","","14705865","60.57","10603","0.04","9287999","38.26","273617","1.13","24278084","2045814","1518","27203","2641133","-272607","19289809"
"","多摩計","","","","14617118","60.67","","","9236454","38.34","238343","0.99","24091915","2025714","1518","27190","2637256","-268803","19131434"
"","島しょ計","","","","88747","47.66","10603","5.70","51545","27.69","35274","18.95","186169","20100","0","13","3877","-3804","158375"
"","組合計","","","","","","","","","","","","47279629","","26521","55457","0","1471963","48669614"
"1","千代田区","料","2方式","10","570088","81.71","","","127645","18.29","","","697733","24368","0","732","291112","-8512","373009"
"2","中央区","料","2方式","10","854541","72.19","","","329238","27.81","","","1183779","68223","0","0","301960","24894","838490"
"3","港区","料","2方式","10","3180384","82.46","","","676350","17.54","","","3856734","140826","10","3570","1879752","-23551","1809025"
"4","新宿区","料","2方式","10","2020831","64.19","","","1127585","35.81","","","3148416","261620","52","2512","480148","-147787","2256297"
"5","文京区","料","2方式","9","1207664","70.23","","","511931","29.77","","","1719595","96918","47","1678","346426","-44465","1230061"
"6","台東区","料","2方式","10","1145886","64.37","","","634219","35.63","","","1780105","139699","109","753","264752","-22476","1352316"
"7","墨田区","料","2方式","10","1139216","60.37","","","747727","39.63","","","1886943","176338","0","528","193343","-32369","1484365"
"8","江東区","料","2方式","10","2040608","61.10","","","1299100","38.90","","","3339708","295194","374","34554","357717","-13957","2637912"
"9","品川区","料","2方式","10","1908603","66.19","","","974905","33.81","","","2883508","207721","3","3523","438982","-34283","2198996"
"10","目黒区","料","2方式","10","2110843","73.92","","","744725","26.08","","","2855568","138458","0","3052","796780","-48124","1869154"
"11","大田区","料","2方式","10","3396306","65.06","","","1823602","34.94","","","5219908","372692","194","5334","787728","-42453","4011507"
"12","世田谷区","料","2方式","9","5824273","71.35","","","2339010","28.65","","","8163283","442019","100","18734","1921105","-73439","5707886"
"13","渋谷区","料","2方式","10","2379121","77.77","","","679882","22.23","","","3059003","138613","112","2405","1043737","-61364","1812772"
