"","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／合計","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／1～10本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／11～20本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／21～30本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／31～40本","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／40本以上","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／(再掲)21本以上","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／無回答","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／合計／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／1～10本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／11～20本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／21～30本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／31～40本／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／40本以上／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／(再掲)21本以上／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／無回答／(再掲)毎日吸っている","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／合計／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／1～10本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／11～20本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／21～30本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／31～40本／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／40本以上／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／(再掲)21本以上／(再掲)ときどき吸う日がある","問12－1 あなたは通常、１日に何本たばこを吸いますか。（「ときどき吸う方」は吸うときの1日の本数をお答え下さい｡）／無回答／(再掲)ときどき吸う日がある","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／合計","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／やめたい","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／本数を減らしたい","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／やめたくない","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／わからない","問12-2 たばこをやめたいと思いますか｡あてはまる番号を1つに○印をつけて下さい。／無回答","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／合計","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／ある","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／ない","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／わからない","問12-3 身近に禁煙治療が受けられる医療機関がありますか。あてはまる番号を1つ選んで○印をつけて下さい。／無回答"
"全体総数(人)","82","31","47","1","2","1","4","0","73","22","47","1","2","1","4","0","9","9","0","0","0","0","0","0","82","19","17","30","16","0","82","22","5","55","0"
"全体総数(%)","100","37.8","57.3","1.2","2.4","1.2","4.9","0","100","30.1","64.4","1.4","2.7","1.4","5.5","0","100","100","0","0","0","0","0","0","100","23.2","20.7","36.6","19.5","0","100","26.8","6.1","67.1","0"
"20～29歳(人)","7","6","1","0","0","0","0","0","2","1","1","0","0","0","0","0","5","5","0","0","0","0","0","0","7","1","3","0","3","0","7","0","0","7","0"
"20～29歳(%)","100","85.7","14.3","0","0","0","0","0","100","50","50","0","0","0","0","0","100","100","0","0","0","0","0","0","100","14.3","42.9","0","42.9","0","100","0","0","100","0"
"30～39歳(人)","13","3","10","0","0","0","0","0","13","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","13","3","3","6","1","0","13","3","2","8","0"
"30～39歳(%)","100","23.1","76.9","0","0","0","0","0","100","23.1","76.9","0","0","0","0","0","","","","","","","","","100","23.1","23.1","46.2","7.7","0","100","23.1","15.4","61.5","0"
"40～49歳(人)","15","4","11","0","0","0","0","0","15","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","15","4","4","4","3","0","15","2","0","13","0"
"40～49歳(%)","100","26.7","73.3","0","0","0","0","0","100","26.7","73.3","0","0","0","0","0","","","","","","","","","100","26.7","26.7","26.7","20","0","100","13.3","0","86.7","0"
"50～59歳(人)","17","4","13","0","0","0","0","0","16","3","13","0","0","0","0","0","1","1","0","0","0","0","0","0","17","5","3","2","7","0","17","5","1","11","0"
"50～59歳(%)","100","23.5","76.5","0","0","0","0","0","100","18.8","81.3","0","0","0","0","0","100","100","0","0","0","0","0","0","100","29.4","17.6","11.8","41.2","0","100","29.4","59","64.7","0"
"60～69歳(人)","16","6","7","0","2","1","3","0","15","5","7","0","2","1","3","0","1","1","0","0","0","0","0","0","16","4","4","6","2","0","16","8","0","8","0"
"60～69歳(%)","100","37.5","43.8","0","12.5","63","18.8","0","100","33.3","46.7","0","13.3","67","20","0","100","100","0","0","0","0","0","0","100","25","25","37.5","12.5","0","100","50","0","50","0"
"70歳～(人)","14","8","5","1","0","0","1","0","12","6","5","1","0","0","1","0","2","2","0","0","0","0","0","0","14","2","0","12","0","0","14","4","2","8","0"
"70歳～(%)","100","57.1","35.7","71","0","0","71","0","100","50","41.7","83","0","0","83","0","100","100","0","0","0","0","0","0","100","14.3","0","85.7","0","0","100","28.6","14.3","57.1","0"
"男性総数(人)","64","23","38","1","1","1","3","0","58","17","38","1","1","1","3","0","6","6","0","0","0","0","0","0","64","16","11","24","13","0","64","14","5","45","0"
"男性総数(%)","100","35.9","59.4","1.6","1.6","1.6","47","0","100","29.3","65.5","1.7","1.7","1.7","52","0","100","100","0","0","0","0","0","0","100","25","17.2","37.5","20.3","0","100","21.9","78","70.3","0"
"20～29歳(人)","4","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0","3","3","0","0","0","0","0","0","4","0","2","0","2","0","4","0","0","4","0"
"20～29歳(%)","100","100","0","0","0","0","0","0","100","100","0","0","0","0","0","0","100","100","0","0","0","0","0","0","100","0","50","0","50","0","100","0","0","100","0"
"30～39歳(人)","12","2","10","0","0","0","0","0","12","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","12","3","2","6","1","0","12","3","2","7","0"
"30～39歳(%)","100","16.7","83.3","0","0","0","0","0","100","16.7","83.3","0","0","0","0","0","","","","","","","","","100","25","16.7","50","83","0","100","25","16.7","58.3","0"
"40～49歳(人)","11","2","9","0","0","0","0","0","11","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","11","4","2","2","3","0","11","0","0","11","0"
"40～49歳(%)","100","18.2","81.8","0","0","0","0","0","100","18.2","81.8","0","0","0","0","0","","","","","","","","","100","36.4","18.2","18.2","27.3","0","100","0","0","100","0"
"50～59歳(人)","12","3","9","0","0","0","0","0","11","2","9","0","0","0","0","0","1","1","0","0","0","0","0","0","12","4","1","1","6","0","12","3","1","8","0"
"50～59歳(%)","100","25","75","0","0","0","0","0","100","18.2","81.8","0","0","0","0","0","100","100","0","0","0","0","0","0","100","33.3","83","83","50","0","100","25","83","66.7","0"
"60～69歳(人)","11","4","5","0","1","1","2","0","11","4","5","0","1","1","2","0","0","0","0","0","0","0","0","0","11","3","4","3","1","0","11","4","0","7","0"
"60～69歳(%)","100","36.4","45.5","0","91","91","18.2","0","100","36.4","45.5","0","91","91","18.2","0","","","","","","","","","100","27.3","36.4","27.3","91","0","100","36.4","0","63.6","0"
