"","件数(件)","費用額(円)","保険者負担分(円)","一部負担金(円)","他法負担分(円)","被保険者１人当たりの費用額(計)(円)","被保険者１人当たりの医療給付額(高額含む)(円)"
"療養の給付等","15967999","256165312066","183350212039","65686792858","7128307169","",""
"食事療養・生活療養(再掲)","131649","2293743892","1411031844","835644438","47067610","",""
"療養費等／食事療養・生活療養","254","","658440","-658440","0","",""
"療養費等／療養費／療養費","5066","124879765","90749491","32670301","1459973","",""
"療養費等／療養費／補装具","9545","331607162","238056017","90319091","3232054","",""
"療養費等／療養費／柔道整復師","549269","3636546633","2571047289","1045359497","20139847","",""
"療養費等／療養費／アンマ・マッサージ","4713","139123607","100833275","35172243","3118089","",""
"療養費等／療養費／ハリ・キュウ","12822","134375509","95531975","37637735","1205799","",""
"療養費等／療養費／その他","16","769060","962453","-193393","0","",""
"療養費等／療養費／小計","581431","4367301736","3097180500","1240965474","29155762","",""
"療養費等／療養費／海外療養費（再掲）","129","9973040","6996112","2976928","0","",""
"療養費等／移送費","2","33651","33651","0","0","",""
"計","16549686","260532647453","186448084630","66927099892","7157462931","201001","157165"
