"","診断／１診断あり／通所（園） している","診断／１診断あり／通所（園） していない","診断／１診断あり／無回答","診断／１診断あり／総数","診断／２診断なし／通所（園） している","診断／２診断なし／通所（園） していない","診断／２診断なし／無回答","診断／２診断なし／総数","診断／無回答／通所（園） している","診断／無回答／通所（園） していない","診断／無回答／無回答","診断／無回答／総数"
"１ぜん息、ぜん息性気管支炎、小児ぜん息","186","127","21","334","1425","1441","179","3045","20","26","10","56"
"（再掲） 1回の呼吸器症状","22","16","3","41","","","","","","","",""
"2回以上の呼吸器症状","159","111","17","287","","","","","","","",""
"回数無回答","5","0","1","6","","","","","","","",""
"２食物アレルギー","292","253","34","579","1321","1319","166","2806","18","22","10","50"
"３アトピー性皮膚炎","194","168","25","387","1412","1400","176","2988","25","26","9","60"
"４アレルギー性鼻炎","146","132","28","306","1455","1431","171","3057","30","31","11","72"
"５アレルギー性結膜炎","77","76","13","166","1523","1486","186","3195","31","32","11","74"
"６じんましん","210","194","22","426","1399","1370","178","2947","22","30","10","62"
"７その他のアレルギー疾患","24","19","3","46","1562","1531","192","3285","45","44","15","104"
"何らかのアレルギー疾患の診断あり","680","591","91","1362","946","991","113","2050","5","12","6","23" 
