"","人数","1位","1位(%)","2位","2位(%)","3位","3位(%)"
"男性／20-29 歳","19","特に困っていない","31.6","通勤・通学の所要時間仕事","26.3","睡眠環境(音、照明など）／就寝前に携帯電話、メール、ゲームなどに熱中すること／その他","10.5"
"男性／30-39 歳","25","仕事","48.0","特に困っていない","32.0","就寝前に携帯電話、メール、ゲームなどに熱中すること","24.0"
"男性／40-49 歳","29","仕事","51.7","特に困っていない","27.6","通勤・通学の所要時間／その他","10.3"
"男性／50-59 歳","34","特に困っていない","35.3","仕事","29.4","通勤・通学の所要時間","20.6"
"男性／60-69 歳","36","特に困っていない","52.8","睡眠環境(音、照明など）／その他","16.7","健康状態","11.1"
"男性／70 歳以上","50","特に困っていない","62.0","健康状態","14.0","その他","12.0"
"女性／20-29 歳","19","特に困っていない","31.6","仕事","26.3","就寝前に携帯電話、メール、ゲームなどに熱中すること／その他","21.1"
"女性／30-39 歳","14","育児","35.7","就寝前に携帯電話、メール、ゲームなどに熱中すること","21.4","仕事家事／健康状態／通勤・通学の所要時間特に困っていない","14.3"
"女性／40-49 歳","48","特に困っていない","35.4","家事","29.2","仕事","18.8"
"女性／50-59 歳","33","特に困っていない","36.4","仕事／家事","21.2","睡眠環境(音、照明など）","15.2"
"女性／60-69 歳","49","特に困っていない","53.1","その他","24.5","家事／健康状態","10.2"
"女性／70 歳以上","54","特に困っていない","70.4","健康状態","14.8","介護／その他","7.4"
