"","青梅市","青梅市(%)","東大和市","東大和市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","p値"
"持続性せき／9年度","18","3.1","11","2.5","9","4.0","8","1.6","12","2.8","14","2.5",""
"持続性せき／10年度","10","1.7","9","1.9","7","3.1","14","2.9","19","5.1","20","3.6",""
"持続性せき／11年度","10","1.9","7","1.4","9","4.1","12","2.7","9","2.6","18","3.3","0.045"
"持続性たん／9年度","13","2.2","8","1.8","7","3.1","8","1.6","9","2.1","14","2.5",""
"持続性たん／10年度","8","1.4","7","1.5","6","2.7","13","2.7","11","2.9","13","2.4",""
"持続性たん／11年度","3","0.6","7","1.4","3","1.4","9","2.0","9","2.6","16","2.9","0.121"
"ぜい鳴／9年度","39","6.7","35","7.9","24","10.6","32","6.3","32","7.3","42","7.4",""
"ぜい鳴／10年度","45","7.9","27","5.8","22","9.7","39","8.0","21","5.6","36","6.6",""
"ぜい鳴／11年度","40","7.6","31","6.4","29","13.2","29","6.5","17","4.9","28","5.1","0.001"
"ぜん息様症状(現在)／9年度","56","9.6","42","9.5","28","12.4","41","8.1","38","8.7","37","6.6",""
"ぜん息様症状(現在)／10年度","41","7.2","45","9.7","33","14.6","45","9.3","47","12.5","45","8.2",""
"ぜん息様症状(現在)／11年度","43","8.2","43","8.9","23","10.5","41","9.2","40","11.6","54","9.9","0.007"
"鼻炎様症状（一年中）／9年度","29","5.0","26","5.9","16","7.1","39","7.7","30","6.9","32","5.7",""
"鼻炎様症状（一年中）／10年度","38","6.6","26","5.6","24","10.6","32","6.6","28","7.4","41","7.5",""
"鼻炎様症状（一年中）／11年度","36","6.9","16","3.3","13","5.9","32","7.2","24","7.0","39","7.1","0.067"
"鼻炎様症状（春）／9年度","103","17.7","52","11.7","33","14.6","78","15.4","46","10.6","64","11.3",""
"鼻炎様症状（春）／10年度","88","15.4","54","11.7","29","12.8","62","12.8","40","10.6","66","12.0",""
"鼻炎様症状（春）／11年度","92","17.5","64","13.3","33","15.1","75","16.8","45","13.1","71","13.0","0.000"
