"","総数","給食の原材料を記入した献立表を事前に配布している／施設数","給食の原材料を記入した献立表を事前に配布している／割合","補食の原材料を記入した献立表を事前に配布している／施設数","補食の原材料を記入した献立表を事前に配布している／割合","おやつの原材料を記入した献立表を事前に配布している／施設数","おやつの原材料を記入した献立表を事前に配布している／割合","一部のおかずのみ弁当を持参してもらっている／施設数","一部のおかずのみ弁当を持参してもらっている／割合","完全除去食（原因物質を除いた食事）を提供している／施設数","完全除去食（原因物質を除いた食事）を提供している／割合","段階的除去食を提供している／施設数","段階的除去食を提供している／割合","代替食を提供している／施設数","代替食を提供している／割合","給食を提供せず、家庭から弁当を持参してもらっている／施設数","給食を提供せず、家庭から弁当を持参してもらっている／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1579","1454","92.1","638","40.4","1307","82.8","207","13.1","1169","74.0","686","43.4","1180","74.7","70","4.4","85","5.4","11","0.7"
"認証保育所＊","526","498","94.7","156","29.7","431","81.9","37","7.0","413","78.5","200","38.0","324","61.6","21","4.0","16","3.0","3","0.6"
"認定こども園＊","95","81","85.3","23","24.2","53","55.8","17","17.9","61","64.2","30","31.6","56","58.9","21","22.1","4","4.2","2","2.1"
"幼稚園＊","528","305","57.8","26","4.9","110","20.8","90","17.0","170","32.2","71","13.4","172","32.6","223","42.2","92","17.4","9","1.7"
"ベビーホテル","271","157","57.9","34","12.5","109","40.2","24","8.9","134","49.4","56","20.7","100","36.9","85","31.4","26","9.6","6","2.2"
"家庭的保育","213","46","21.6","8","3.8","30","14.1","6","2.8","47","22.1","35","16.4","37","17.4","73","34.3","46","21.6","15","7.0"
"学童保育","1118","14","1.3","7","0.6","106","9.5","8","0.7","396","35.4","190","17.0","615","55.0","166","14.8","286","25.6","51","4.6"
"上記以外の施設","304","133","43.8","18","5.9","92","30.3","27","8.9","141","46.4","81","26.6","131","43.1","100","32.9","50","16.4","4","1.3"
"総数","4634","2688","58.0","910","19.6","2238","48.3","416","9.0","2531","54.6","1349","29.1","2615","56.4","759","16.4","605","13.1","101","2.2"
"＊前回調査施設 (再掲）","2728","2338","85.7","843","30.9","1901","69.7","351","12.9","1813","66.5","987","36.2","1732","63.5","335","12.3","197","7.2","25","0.9" 
