"","利用したことがある(%)","必要がないので、利用したことがない(%)","制度を知らなかった(制度がなかったので、利用したことがない)(%)","利用要件(所得等を満たしていないので、利用したことがない)(%)","その他の理由で利用したことがない(%)","無回答(%)"
"生活保護","13","41.9","3","29.9","3.6","8.7"
"児童扶養手当","70.7","6.1","2.8","15.4","0.3","4.6"
"児童育成手当","77.8","5.5","3.7","8.2","0","4.8"
"ひとり親家庭医療費助成","66.1","8.5","7.6","11.6","0","5.4"
"ひとり親家庭ホームヘルプサービス","4.3","37.9","40.4","6.7","1.3","9.3"
"母子自立支援員への相談","8.1","40.6","36.4","4.9","1","9"
"東京都ひとり親家庭支援センター(はあと)への相談","3.3","36.9","46.4","4.3","1","8.1"
"母子自立支援員プログラム策定事業","1","35.7","47.2","5.5","1.2","9.4"
"母子福祉資金","4.6","34","44.9","6.6","1","8.8"
"母子家庭自立支援教育訓練給付金","3.1","37.2","41.8","7.3","1.8","8.8"
"母子家庭高等技能訓練促進費","1.3","36.7","44.5","7","1.6","8.8"
"ひとり親家庭休養ホーム事業","5.2","30.1","50.3","4.8","1.3","8.2"
