"保険者番号","保険者別","受診率／入院","受診率／入院外","受診率／歯科","受診率／計","1件当たり日数／入院(日)","1件当たり日数／入院外(日)","1件当たり日数／歯科(日)","1件当たり日数／計(日)","1日当たり費用額／入院(円)","1日当たり費用額／入院外(円)","1日当たり費用額／歯科(円)","1日当たり費用額／計(円)","1人当たり費用額／入院(円)","1人当たり費用額／入院外(円)","1人当たり費用額／歯科(円)","1人当たり費用額／計(円)"
"","平成25年度総計","13.333","994.074","180.741","1188.148","4.83","1.58","1.66","1.63","63832","4860","7197","7188","41136","76247","21591","138975"
"","平成26年度総計","20.225","887.640","204.494","1112.360","8.56","1.64","1.52","1.74","58663","5318","7458","10429","101507","77263","23129","201899"
"","平成27年度総計","6.667","820.000","188.333","1015.000","13.50","1.76","1.42","1.78","65238","5005","8070","8464","58714","72402","21656","152771"
"","特別区計","0.000","797.059","232.353","1029.412","","1.68","1.44","1.63","","5000","7851","5572","0","66918","26324","93242"
"","市町村計","15.385","850.000","130.769","996.154","13.50","1.87","1.38","1.98","65238","5009","8603","11665","135493","79573","15551","230618"
"","多摩計","15.385","850.000","130.769","996.154","13.50","1.87","1.38","1.98","65238","5009","8603","11665","135493","79573","15551","230618"
"","島しょ計","","","","","","","","","","","","","","","",""
"1","千代田区","","","","","","","","","","","","","","","",""
"2","中央区","0.000","800.000","500.000","1300.000","","1.00","1.20","1.08","","4423","6898","5484","0","35380","41390","76770"
"3","港区","","","","","","","","","","","","","","","",""
"4","新宿区","0.000","400.000","900.000","1300.000","","2.00","1.00","1.31","","3998","9820","7080","0","31980","88380","120360"
"5","文京区","","","","","","","","","","","","","","","",""
"6","台東区","","","","","","","","","","","","","","","",""
"7","墨田区","","","","","","","3.00","3.00","","","3712","3712","","","",""
"8","江東区","0.000","2100.000","600.000","2700.000","","1.48","1.33","1.44","","6885","7295","6969","0","213440","58360","271800"
"9","品川区","0.000","650.000","50.000","700.000","","1.62","1.00","1.57","","3661","8010","3859","0","38445","4005","42450"
"10","目黒区","0.000","400.000","200.000","600.000","","1.50","2.50","1.83","","5023","7939","6348","0","30135","39695","69830"
"11","大田区","0.000","750.000","450.000","1200.000","","1.43","1.22","1.35","","5751","8980","6844","0","61823","49393","111215"
"12","世田谷区","0.000","133.333","0.000","133.333","","1.25","","1.25","","5820","","5820","0","9700","0","9700"
"13","渋谷区","","","","","","","","","","","","","","","",""
"14","中野区","0.000","800.000","500.000","1300.000","","1.25","2.20","1.62","","6677","4882","5737","0","66770","53700","120470"
"15","杉並区","","","","","","","","","","","","","","","",""
"16","豊島区","","","","","","","","","","","","","","","",""
"17","北区","0.000","300.000","300.000","600.000","","2.00","2.33","2.17","","8075","10447","9352","0","48450","73130","121580"
"18","荒川区","","","","","","","","","","","","","","","",""
"19","板橋区","0.000","966.667","100.000","1066.667","","1.59","1.00","1.53","","4565","11023","4960","0","69993","11023","81017"
"20","練馬区","0.000","866.667","233.333","1100.000","","1.15","1.43","1.21","","7443","7867","7549","0","74430","26223","100653"
"21","足立区","0.000","614.286","114.286","728.571","","2.00","1.38","1.9","","4538","10126","5172","0","55759","15913","71671"
"22","葛飾区","0.000","900.000","100.000","1000.000","","1.52","1.00","1.47","","4508","8460","4777","0","61603","8460","70063"
"23","江戸川区","0.000","2350.000","250.000","2600.000","","2.30","1.40","2.21","","4234","3471","4187","0","228625","12150","240775"
"24","八王子市","0.000","875.000","300.000","1175.000","","1.34","1.33","1.34","","4811","6241","5175","0","56535","24965","81500"
"25","立川市","0.000","1600.000","0.000","1600.000","","1.41","","1.41","","5634","","5634","0","126770","0","126770"
"26","武蔵野市","","","","","","","","","","","","","","","",""
"27","三鷹市","0.000","0.000","0.000","0.000","","","","","","","","","0","0","0","0"
"28","青梅市","","","","","","","","","","","","","","","",""
