"","施設数","0回／施設数","0回／割合","1回／施設数","1回／割合","2回／施設数","2回／割合","3回／施設数","3回／割合","4回／施設数","4回／割合","5回／施設数","5回／割合","無回答／施設数","無回答／割合"
"認可保育所★","172","2","1.2","99","57.6","27","15.7","10","5.8","4","2.3","3","1.7","27","15.7"
"認証保育所★","47","","","27","57.4","10","21.3","1","2.1","","","","","9","19.1"
"認定こども園★","12","","","5","41.7","5","41.7","","","","","","","2","16.7"
"幼稚園★","39","","","27","69.2","5","12.8","1","2.6","","","","","6","15.4"
"ベビーホテル","13","","","6","46.2","2","15.4","1","7.7","","","","","4","30.8"
"家庭的保育","5","","","3","60.0","1","20.0","","","","","","","1","20.0"
"学童保育","47","1","2.1","33","70.2","3","6.4","2","4.3","","","1","2.1","7","14.9"
"上記以外の施設","11","","","7","63.6","1","9.1","","","","","","","3","27.3"
"総数","346","3","0.9","207","59.8","54","15.6","15","4.3","4","1.2","4","1.2","59","17.1"
"再掲（★印の４大施設）","270","2","0.7","158","58.5","47","17.4","12","4.4","4","1.5","3","1.1","44","16.3"
