"上段：度数／下段：%","n=","結婚","妊娠・出産","子育て・家事","健康上の理由（体力含む）","転居","給料が安い","仕事量が多い","労働時間が長い","職場の人間関係","保護者対応等の心労","職業適性に対する不安","他業種への興味","家族の事情（介護等）","配偶者の意向","その他","無回答"
"ＴＯＴＡＬ","1488","197","214","259","287","37","968","777","555","371","267","327","456","48","23","161","100"
"ＴＯＴＡＬ","100","13.2","14.4","17.4","19.3","2.5","65.1","52.2","37.3","24.9","17.9","22.0","30.6","3.2","1.5","10.8","6.7"
"性別・年代／女性計","1340","187","209","253","265","37","866","713","508","333","255","292","412","45","18","144","86"
"性別・年代／女性計","100","14.0","15.6","18.9","19.8","2.8","64.6","53.2","37.9","24.9","19.0","21.8","30.7","3.4","1.3","10.7","6.4"
"性別・年代／女性２０代","796","160","145","132","115","24","548","459","337","235","171","211","310","9","6","62","45"
"性別・年代／女性２０代","100","20.1","18.2","16.6","14.4","3.0","68.8","57.7","42.3","29.5","21.5","26.5","38.9","1.1","0.8","7.8","5.7"
"性別・年代／女性３０代","289","17","57","96","53","10","194","157","111","48","57","42","54","5","4","43","21"
"性別・年代／女性３０代","100","5.9","19.7","33.2","18.3","3.5","67.1","54.3","38.4","16.6","19.7","14.5","18.7","1.7","1.4","14.9","7.3"
"性別・年代／女性４０代","156","7","4","20","61","2","89","67","38","33","18","30","37","14","3","23","8"
"性別・年代／女性４０代","100","4.5","2.6","12.8","39.1","1.3","57.1","42.9","24.4","21.2","11.5","19.2","23.7","9.0","1.9","14.7","5.1"
"性別・年代／女性５０代以上","94","2","1","3","32","0","31","27","20","17","9","9","11","17","4","16","12"
"性別・年代／女性５０代以上","100","2.1","1.1","3.2","34.0","0.0","33.0","28.7","21.3","18.1","9.6","9.6","11.7","18.1","4.3","17.0","12.8"
"性別・年代／男性計","92","5","0","2","8","0","74","34","26","25","8","25","31","3","2","9","5"
"性別・年代／男性計","100","5.4","0.0","2.2","8.7","0.0","80.4","37.0","28.3","27.2","8.7","27.2","33.7","3.3","2.2","9.8","5.4"
"性別・年代／男性２０代","72","3","0","0","3","0","57","26","19","18","4","20","26","1","0","6","5"
"性別・年代／男性２０代","100","4.2","0.0","0.0","4.2","0.0","79.2","36.1","26.4","25.0","5.6","27.8","36.1","1.4","0.0","8.3","6.9"
"性別・年代／男性３０代以上","20","2","0","2","5","0","17","8","7","7","4","5","5","2","2","3","0"
"性別・年代／男性３０代以上","100","10.0","0.0","10.0","25.0","0.0","85.0","40.0","35.0","35.0","20.0","25.0","25.0","10.0","10.0","15.0","0.0"
"性別・年代／無回答","56","5","5","4","14","0","28","30","21","13","4","10","13","0","3","8","9"
"性別・年代／無回答","100","8.9","8.9","7.1","25.0","0.0","50.0","53.6","37.5","23.2","7.1","17.9","23.2","0.0","5.4","14.3","16.1"
