"","症状有または診断有 (原因食物への記載ありn=693）／人数","症状有または診断有 (原因食物への記載ありn=693）／割合","症状有（原因食物への記載ありn=687）／人数","症状有（原因食物への記載ありn=687）／割合","診断有（原因食物への記載ありn=567）／人数","診断有（原因食物への記載ありn=567）／割合"
"原因と思われる食物数／1種類","363","52.4","358","52.1","278","49.0"
"原因と思われる食物数／2種類","170","24.5","170","24.7","146","25.7"
"原因と思われる食物数／3種類","77","11.1","76","11.1","64","11.3"
"原因と思われる食物数／4種類","44","6.3","44","6.4","41","7.2"
"原因と思われる食物数／5種類","17","2.5","17","2.5","17","3.0"
"原因と思われる食物数／6種類","9","1.3","9","1.3","8","1.4"
"原因と思われる食物数／7種類","6","0.9","6","0.9","6","1.1"
"原因と思われる食物数／8種類","2","0.3","2","0.3","2","0.4"
"原因と思われる食物数／9種類","0","0.0","0","0.0","0","0.0"
"原因と思われる食物数／10種類以上","5","0.7","5","0.7","5","0.9" 
