"","男子／7年","男子／8年","男子／9年","男子／10年","男子／11年","男子／有意確率","女子／7年","女子／8年","女子／9年","女子／10年","女子／11年","女子／有意確率"
"母親の喫煙歴／％0.75秒量","","-1.32","-0.33","-1.59","-1.33","0.001","","-0.72","0.25","-1.65","-0.25","0.140"
"母親の喫煙歴／0.75秒率","","-1.14","-0.63","-0.88","-0.80","0.000","","-0.26","-0.44","-1.14","-0.60","0.003"
"母親の喫煙歴／％V25","-1.60","-3.53","-2.73","-5.13","-2.66","0.000","0.82","-2.42","-1.69","-6.07","-2.37","0.008"
"二車線道路直面／％0.75秒量","","-1.86","-0.57","-0.77","0.16","0.018","","-0.76","0.24","-0.58","-0.55","0.275"
"二車線道路直面／0.75秒率","","-0.31","0.34","-0.05","-0.14","0.789","","-0.63","-0.10","-0.22","-0.05","0.166"
"二車線道路直面／％V25","1.13","-2.53","0.71","-1.26","-0.18","0.675","-0.57","-2.86","-0.17","-0.08","-0.31","0.296"
"鉄筋住宅／％0.75秒量","","0.04","-0.09","-0.13","-1.09","0.299","","-1.37","0.04","0.04","0.04","0.281"
"鉄筋住宅／0.75秒率","","0.24","-0.04","0.07","0.11","0.530","","-0.67","-0.39","0.11","0.25","0.204"
"鉄筋住宅／％V25","-0.20","1.45","-0.53","-1.13","-0.01","0.948","0.26","-4.65","-1.60","-2.03","-1.08","0.005"
"寝室の床（畳／板，タイルの上に絨毯）／％0.75秒量","","0.26","0.17","-1.48","0.28","0.549","","-1.31","0.70","0.50","0.90","0.678"
"寝室の床（畳／板，タイルの上に絨毯）／0.75秒率","","0.03","0.00","-0.66","0.62","0.938","","-0.33","-0.09","0.17","-0.40","0.359"
"寝室の床（畳／板，タイルの上に絨毯）／％V25","-1.72","0.37","-0.34","-3.11","3.06","0.508","0.32","-1.03","0.13","2.63","0.03","0.584"
"非排気型暖房器具使用／％0.75秒量","","-0.61","-1.09","-0.80","-0.32","0.012","","0.31","-0.53","1.45","0.39","0.210"
"非排気型暖房器具使用／0.75秒率","","0.13","-0.26","-0.26","-0.26","0.327","","0.13","0.32","0.60","0.35","0.029"
"非排気型暖房器具使用／％V25","0.79","-0.71","-2.99","-1.30","-1.29","0.062","2.08","0.71","1.08","4.04","1.23","0.009"
"ペット（猫／小鳥／家の中で飼っている犬）／％0.75秒量","","-0.02","-0.06","0.04","0.99","0.542","","0.43","0.58","2.03","2.08","0.001"
"ペット（猫／小鳥／家の中で飼っている犬）／0.75秒率","","0.66","-0.22","-0.58","0.32","0.786","","0.09","-0.07","0.28","0.26","0.489"
"ペット（猫／小鳥／家の中で飼っている犬）／％V25","-4.81","1.80","-0.19","-1.37","0.05","0.374","-7.35","1.27","0.85","2.38","3.92","0.416"
"２歳以前の呼吸器疾患／％0.75秒量","","-2.52","-1.78","-1.73","-2.14","0.000","","-1.89","-2.08","-1.68","-0.94","0.001"
"２歳以前の呼吸器疾患／0.75秒率","","-1.51","-0.91","-0.59","-1.25","0.000","","-1.47","-1.97","-1.35","-0.38","0.000"
"２歳以前の呼吸器疾患／％V25","2.71","-4.97","-3.42","-1.81","-3.87","0.107","-0.54","-5.95","-7.58","-6.38","-3.43","0.000"
"母乳栄養／％0.75秒量","","1.19","0.88","1.51","0.14","0.001","","0.44","0.08","0.41","-0.36","0.613"
"母乳栄養／0.75秒率","","0.26","0.09","0.39","-0.47","0.623","","0.48","-0.13","0.04","-0.55","0.933"
"母乳栄養／％V25","-4.23","1.41","1.76","2.36","-2.77","0.651","-0.09","1.18","-0.41","-0.28","-3.08","0.511"
"アレルギー歴／％0.75秒量","","-1.50","-0.70","-1.52","-1.01","0.000","","-1.68","-1.76","-1.18","-0.99","0.000"
"アレルギー歴／0.75秒率","","-0.86","-0.56","-0.68","-0.61","0.000","","-0.59","-1.17","-0.39","-0.43","0.000"
"アレルギー歴／％V25","-5.59","-3.88","-1.83","-4.59","-2.90","0.000","-0.48","-4.78","-6.92","-2.14","-2.65","0.000"
