"","いずれ結婚するつもり(％)","一生結婚するつもりはない(％)","不詳(％)"
"男性／昭和57年(1982)n=2732","95.9","2.3","1.8"
"男性／昭和62年(1987)n=3299","91.8","4.5","3.7"
"男性／平成4年(1992)n=4215","90.0","4.9","5.1"
"男性／平成9年(1997)n=3982","85.9","6.3","7.8"
"男性／平成14年(2002)n=3897","87.0","5.4","7.7"
"男性／平成17年(2005)n=3139","87.0","7.1","5.9"
"女性／昭和57年(1982)n=2110","94.2","4.1","1.7"
"女性／昭和62年(1987)n=2605","92.9","4.6","2.5"
"女性／平成4年(1992)n=3647","90.2","5.2","4.6"
"女性／平成9年(1997)n=3612","89.1","4.9","6.0"
"女性／平成14年(2002)n=3494","88.3","5.0","6.7"
"女性／平成17年(2005)n=3064","90.0","5.6","4.3"
