"","青梅市","青梅市(%)","東大和市","東大和市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","p値"
"持続性せき／9年度","4","0.7","5","1.1","3","1.1","9","1.7","5","1.2","11","2.1",""
"持続性せき／10年度","9","1.7","3","0.7","5","2.0","10","2.0","5","1.2","11","2.1",""
"持続性せき／11年度","11","2.2","5","1.2","4","1.8","6","1.3","2","0.6","11","2.2","0.118"
"持続性たん／9年度","2","0.3","1","0.2","5","1.8","8","1.5","4","1.0","4","0.8",""
"持続性たん／10年度","5","0.9","6","1.4","3","1.2","3","0.6","5","1.2","7","1.4",""
"持続性たん／11年度","9","1.8","2","0.5","2","0.9","6","1.3","4","1.1","9","1.8","0.657"
"ぜい鳴／9年度","41","7.0","25","5.6","14","5.1","25","4.7","18","4.3","26","4.9",""
"ぜい鳴／10年度","22","4.1","16","3.7","14","5.7","31","6.3","16","3.8","26","5.1",""
"ぜい鳴／11年度","20","4.0","16","3.7","10","4.4","27","6.0","10","2.8","22","4.4","0.280"
"ぜん息様症状(現在)／9年度","32","5.5","16","3.6","19","7.0","34","6.4","27","6.4","33","6.2",""
"ぜん息様症状(現在)／10年度","33","6.1","21","4.9","9","3.7","33","6.7","24","5.7","28","5.5",""
"ぜん息様症状(現在)／11年度","32","6.3","25","5.8","20","8.8","29","6.5","20","5.7","33","6.5","0.453"
"鼻炎様症状（一年中）／9年度","19","3.2","15","3.4","14","5.1","32","6.0","17","4.1","21","4.0",""
"鼻炎様症状（一年中）／10年度","24","4.5","12","2.8","10","4.1","26","5.3","13","3.1","19","3.7",""
"鼻炎様症状（一年中）／11年度","20","4.0","14","3.2","13","5.7","24","5.4","21","6.0","25","5.0","0.039"
"鼻炎様症状（春）／9年度","94","16.0","50","11.2","27","9.9","56","10.5","42","10.0","69","13.0",""
"鼻炎様症状（春）／10年度","75","14.0","50","11.6","27","11.0","62","12.6","41","9.8","49","9.6",""
"鼻炎様症状（春）／11年度","80","15.8","58","13.5","22","9.7","42","9.4","29","8.3","56","11.1","0.000"
