"","合算分／多数該当分","合算分／その他","単独分／多数該当分","単独分／長期疾病分","単独分／入院分","単独分／その他","他法併用分","合計","現物配給分(再掲)"
"総数／件数(件)","79662","363918","95433","157063","200826","129811","197298","1224011","713737"
"総数／高額療養費(円)","1701484211","2758683434","8174898719","11615575017","29989021608","4279285105","6397969774","64916917868","56844594217"
"(再掲)前期高齢者分／件数(件)","55027","343268","39791","97486","121804","104103","162385","923864",""
"(再掲)前期高齢者分／高額療養費(円)","928499925","2057588685","3626909669","6261659775","18201358120","2934078729","2847313072","36857407975",""
"(再掲)70歳以上一般分／件数(件)","28910","305839","1507","49621","65294","85568","150093","686832",""
"(再掲)70歳以上一般分／高額療養費(円)","183147844","1287605720","27454974","2092716190","8294766492","2036720439","1719939192","15642350851",""
"(再掲)70歳以上現役並み／件数(件)","5314","19364","1692","3972","8233","5318","1896","45789",""
"(再掲)70歳以上現役並み／高額療養費(円)","117583131","201511941","217530194","319996381","1376914451","263865895","138653045","2636055038",""
"(再掲)未就学児分／件数(件)","83","518","101","88","3316","985","1230","6321",""
"(再掲)未就学児分／高額療養費(円)","2643480","13387454","7439069","8941304","320559427","24469616","239800096","617240446",""
"長期高額疾病該当者数","","","","","","","","7123",""
