"","この1年間の症状／１症状あり／男子","この1年間の症状／１症状あり／女子","この1年間の症状／１症状あり／性別不明","この1年間の症状／１症状あり／総数(人数)","この1年間の症状／１症状あり／総数(割合)","この1年間の症状／２症状なし／男子","この1年間の症状／２症状なし／女子","この1年間の症状／２症状なし／性別不明","この1年間の症状／２症状なし／総数(人数)","この1年間の症状／２症状なし／総数(割合)","この1年間の症状／無回答／男子","この1年間の症状／無回答／女子","この1年間の症状／無回答／性別不明","この1年間の症状／無回答／総数(人数)","この1年間の症状／無回答／総数(割合)"
"１呼吸器症状","283","228","49","560","16.3","1319","1349","177","2845","82.8","13","13","4","30","0.9"
"（再掲） 1回の呼吸器症状","26","19","3","48","1.4","","","","","","","","","",""
"2回以上の呼吸器症状","205","158","36","399","11.6","","","","","","","","","",""
"回数無回答","52","51","10","113","3.3","","","","","","","","","",""
"２食物アレルギー","188","133","14","335","9.8","1402","1431","210","3043","88.6","25","26","6","57","1.7"
"３アトピー性皮膚炎","276","222","47","545","15.9","1309","1351","176","2836","82.6","30","17","7","54","1.6"
"４アレルギー性鼻炎","328","259","55","642","18.7","1257","1310","168","2735","79.6","30","21","7","58","1.7"
"５アレルギー性結膜炎","113","93","22","228","6.6","1480","1477","203","3160","92.0","22","20","5","47","1.4"
"６じんましん","216","194","24","434","12.6","1376","1370","198","2944","85.7","23","26","8","57","1.7"
"７その他のアレルギー疾患","32","22","5","59","1.7","1551","1541","215","3307","96.3","32","27","10","69","2.0"
"何らかのアレルギーの症状あり","771","644","106","1521","44.3","842","944","123","1909","55.6","2","2","1","5","0.1" 
