"施策の体系","少子化打破","実P","重点的取組","数値目標","計画番号","事業名","所管局","事業概要","平成22年度実績","平成23年度実績","平成24年度実績","平成25年度実績","平成26年度実績"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","1","子供家庭支援センター事業＜子供家庭支援区市町村包括補助事業＞","福祉保健局","地域の子供と家庭を支援するため、区市町村における第一義的な相談窓口、在宅サービスの提供・調整機関、関係機関や団体のコーディネート機関として、子育て支援ネットワークの核となる子供家庭支援センタ―を全区市町村に設置する。","59区市町村（23区26市5町5村）","59区市町村（23区26市5町5村）","60区市町村（23区26市5町6村）","60区市町村（23区26市5町6村）","60区市町村（23区26市5町6村）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","2","先駆型子供家庭支援センター事業＜子供家庭支援区市町村包括補助事業＞","福祉保健局","地域における児童虐待防止の取組を一層推進するため、従来型の子供家庭支援センターから、児童虐待の予防・見守りの機能を加えた先駆型子供家庭支援センターへの転換を促進する。","49区市町（23区25市1町）","51区市町（23区26市2町）","53区市町（23区26市4町）","52区市町（23区26市3町）","52区市町（23区26市3町）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","○","","3","区市町村相談対応力強化事業＜子供家庭支援区市町村包括補助事業＞","福祉保健局","地域子育て支援拠点（センター型/子育てひろばＢ型）のネットワーク化等による区市町村相談体制の強化を支援する。また、子供家庭支援センターの組織対応力を強化するため、専門家によるスーパーバイズの実施を支援し、取組を促進する。","○地域子育て支援拠点事業センター型（子育てひろばＢ型）を中心とした地域相談体制の構築／30か所／11区市（5区6市）／○子供家庭支援センターの組織対応力強化／18区市（8区10市）","○地域子育て支援拠点事業センター型（子育てひろばＢ型）を中心とした地域相談体制の構築／29か所／10区市（5区5市）／○子供家庭支援センターの組織対応力強化／25区市（12区13市）","○地域子育て支援拠点事業センター型（子育てひろばＢ型）を中心とした地域相談体制の構築／27か所／9区市（4区5市）／○子供家庭支援センターの組織対応力強化／28区市（13区15市）","平成24年度末で事業終了／平成25年度からは、それぞれ地域子育て支援拠点事業及び子どもを守る地域ネットワーク機能強化事業内の取組として継続実施。","平成24年度末で事業終了／平成25年度からは、それぞれ地域子育て支援拠点事業及び子どもを守る地域ネットワーク機能強化事業内の取組として継続実施。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","","○","4","子供家庭総合センターの整備","福祉保健局","総合的な子育て支援体制の確立に向け、福祉・保健・教育などが連携し、子供と家庭を総合的・専門的に支援する拠点として、子供家庭総合センターを設置する。","建設工事に着手","躯体工事、外壁工事、内装工事等を実施","建物竣工、開設","事業終了","事業終了"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","○","","5","親の子育て力向上支援事業＜子供家庭支援区市町村包括補助事業＞","福祉保健局","子育てに不安を持つ親に対し、グループワークを通し子育てスキルの向上や仲間作りを促進し、育児不安の解消を図る取組を支援する。","23区市（13区10市）","25区市（13区12市）","事業実施25区市（12区13市）","事業実施27区市（16区11市）","事業実施 28区市（15区13市）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","6","4152（よいこに）電話","福祉保健局","土・日・祝日（年末年始を除く）を含め、毎日、電話相談を行うとともに、聴覚言語障害者向けには、FAX相談を実施し、多様な児童相談ニーズに応える。","相談受理件数7,714件","相談受理件数8,475件","相談受理件数9,255件","相談受理件数8,407件","相談受理件数10,495件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","7","電話相談「母と子の健康相談室」（小児救急相談）","福祉保健局","妊娠中の生活や育児など母子の健康相談や子供の急病等に関する電話相談を、保健師、助産師、必要に応じて小児科医師が実施し、親の不安の軽減を図る。","相談受理件数30,868件","相談受理件数29,400件","相談受理件数28,824件","相談受理件数29,948件","相談受理件数 31,836件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","8","生涯を通じた女性の健康支援事業","福祉保健局","女性の心身の健康に関する電話相談「東京都女性のための健康ホットライン」や妊娠・出産に関する相談（電話・メール）「妊娠相談ほっとライン」、不妊や不育に関する電話相談「不妊・不育ホットライン」を実施し、女性特有の健康不安の軽減を図る。","女性のための健康ホットライン590件／不妊ホットライン400件","女性のための健康ホットライン532件／不妊ホットライン422件","女性のための健康ホットライン448件／不妊・不育ホットライン377件","女性のための健康ホットライン623件／不妊・不育ホットライン432件","女性のための健康ホットライン 617件不妊・不育ホットライン 428件／妊娠相談ほっとライン 電話 644件、メール78件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","","","9","要支援家庭の早期発見に向けた取組","福祉保健局","母子健康手帳交付時や新生児訪問時の機会等を活用して、支援が必要な家庭の早期発見を図り、保健所・保健センターの個別指導、子供家庭支援センターで実施する在宅サービスなど、適切な支援につなげる区市町村の取組を促進する。","○普及啓発／母子保健研修の実施2回／○医療保健政策区市町村補助事業（包括補助）／28か所","○普及啓発／母子保健研修の実施2回／○医療保健政策区市町村補助事業（包括補助）／29か所","○普及啓発／母子保健研修の実施2回／○医療保健政策区市町村補助事業（包括補助）／29か所","○普及啓発／母子保健研修の実施1回／○子供家庭支援区市町村包括補助事業／31か所","○普及啓発／母子保健研修の実施 ５回／○子供家庭支援区市町村包括補助事業 ２８か所"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","10","母子保健研修","福祉保健局","区市町村、保健所職員等を対象として専門研修を実施し、地域における母子保健水準の維持・向上を図る。","年間10回実施／受講者合計2,400名","年間10回実施／受講者合計2,089名","年間10回実施／受講者合計2,361名","年間10回実施／参加者合計2,134名","年間１０回実施／参加者合計 2,049名"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","","","11","アレルギー疾患対策","福祉保健局","「保育園・幼稚園・学校における食物アレルギー日常生活・緊急時対応ガイドブック」などを活用した、子供のアレルギー疾患に関する研修などを実施し、人材育成と普及啓発を推進する。","【人材育成】／○都作成の食物アレルギーガイドブックを活用して研修を実施／○子供のアレルギー相談実務研修（年3回）720名参加／○ぜん息・食物アレルギー緊急時対応研修（年2回）546名参加（546施設）／【普及啓発】／○子供のアレルギー講演会（年1回）338名参加／○アレルギー教室：都保健所７か所にて実施675名参加","【人材育成】／○都作成の食物アレルギーガイドブックを活用して研修を実施／○子供のアレルギー相談実務研修（年2回）507名参加／○ぜん息・食物アレルギー緊急時対応研修（年2回）527名参加（419施設）／【普及啓発】／○子供のアレルギー講演会（年1回）304名参加／○アレルギー教室：都保健所6か所にて実施616名参加","【人材育成】／○都作成の食物アレルギーガイドブックを活用して研修を実施／○子供のアレルギー相談実務研修（年3回）763名参加／○ぜん息・食物アレルギー緊急時対応研修（年2回）554名参加（478施設）／【普及啓発】／○子供のアレルギー講演会（年1回）201名参加／○アレルギー教室：都保健所6か所にて実施388名参加","【人材育成】／○食物アレルギー緊急時対応マニュアルの作成／○都作成の「食物アレルギーガイドブック」「食物アレルギー緊急時対応マニュアル」を活用して研修を実施／○子供のアレルギー相談実務研修（年3回）981名参加／○ぜん息・食物アレルギー緊急時対応研修（年4回）1,077名参加／【普及啓発】／○子供のアレルギー講演会（年1回）368名参加／○アレルギー教室：都保健所6ヶ所にて実施1,070名参加","【人材育成】／○子供のアレルギー相談実務研修（年3回） 965名参加／○ぜん息・食物アレルギー緊急時対応研修（年4回） 1,871名参加／【普及啓発】／○子供のアレルギー講演会（年1回）371名参加／○アレルギー教室：都保健所6か所にて実施 603名参加／【調査】／○アレルギー疾患に関する3歳児全都調査／都内区市町村3歳児健康診査受診者を対象に調査を実施（調査票配布：8,383名、回収数：3,435名）／○アレルギー疾患に関する施設調査／都内保育施設等に対するアレルギー対応調査を実施（調査票配布：7,405施設、回収数：5,348施設）"
