"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","大森西1～7丁目","地域包括支援センター大森","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｵｵﾓﾘ","03-5753-6331","03-5753-6332","143-0015","大田区大森西1-16-18 特別養護老人ホーム大森内","35.575249","139.725403","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"2","大森中1丁目1～21番、大森中2丁目1～12番、大森中2丁目19～24番、大森中3丁目1～5番、大森中3丁目9～36番、大森東1～3丁目、大森本町1丁目9～ 11番、大森本町2丁目、平和の森公園","地域包括支援センター平和島","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾍｲﾜｼﾞﾏ","03-5767-1875","03-5767-1876","143-0012","大田区大森東1-31-3-105 大森東地域センター１階","35.575603","139.735077","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"3","大森北1～6丁目、大森本町1丁目1～8番、京浜島1～3丁目、山王1・2丁目、城南島1～7丁目、昭和島1・2丁目、東海1～6丁目、平和島1～6丁目","地域包括支援センター入新井","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｲﾘｱﾗｲ","03-3762-4689","03-3762-7465","143-0016","大田区大森北1-34-10","35.585617","139.727066","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"4","北馬込1・2丁目、中馬込1～3丁目、西馬込1・2丁目、東馬込1丁目1～32番、南馬込1丁目1～4、6、7番","地域包括支援センター馬込","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾏｺﾞﾒ","03-5709-8011","03-5709-8014","143-0027","大田区中馬込1-19-1-101","35.594921","139.704666","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"5","東馬込1丁目33～50番・2丁目、南馬込1丁目5、8～60番、南馬込2～5丁目、南馬込6丁目1番8～19号、南馬込6丁目1番21～23号、南馬込6丁目2～6番、南馬込6丁目7番1～4号、南馬込6丁目8番3～10号、南馬込6丁目9～14番、馬込6丁目17～23番、南馬込6丁目30番1号、南馬込6丁目35～38番","地域包括支援センター南馬込","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐﾅﾐﾏｺﾞﾒ","03-6429-7651","03-6429-7652","143-0025","大田区南馬込3-13-12","35.586266","139.719589","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"6","池上1.2丁目、池上3丁目12番、池上3丁目13番6～11号、池上3丁目21番1～ 27号、池上3丁目22～41番、池上4～8丁目、中央5～8丁目、南馬込6丁目1番20号、南馬込6丁目7番5～10号、南馬込6丁目8番1・2号、南馬込6丁目8番11～13号、南馬込6丁目15・16番、南馬込6丁目24～29番、南馬込6丁目30番2～21号、南馬込6丁目31～34番","地域包括支援センター徳持","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾄｸﾓﾁ","03-5748-7202","03-5748-7232","146-0082","大田区池上7-10-5","35.571625","139.701218","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"7","山王3・4丁目、中央1～4丁目","地域包括支援センター新井宿（大森医師会）","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰｱﾗｲｼﾞｭｸ(ｵｵﾓﾘｲｼｶｲ)","03-3772-2415","03-3772-2472","143-0024","大田区中央1-21-6、新井宿特別出張所2階","35.579571","139.719772","JGD2011","〔平日〕9時～19時、〔土曜日〕9時～17時","","〇","","","","〇",""
"8","北嶺町1番8～17号、北嶺町2番6～21号、北嶺町3～20番、北嶺町21番6～11号、北嶺町27～48番、田園調布本町、田園調布南、西嶺町、東嶺町、南雪谷2丁目15番13～25号、南雪谷2丁目16～21番、南雪谷4丁目17番、南雪谷4丁目24番","地域包括支援センター嶺町","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾐﾈﾏﾁ","03-5483-7477","03-5483-7488","145-0072","大田区田園調布本町7-1 嶺町特別出張所2階","35.588207","139.677551","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"9","田園調布1～5丁目、雪谷大塚町2～23番","地域包括支援センター田園調布","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾃﾞﾝｴﾝﾁｮｳﾌ","03-3721-1572","03-5755-5707","145-0071","大田区田園調布2-58-5","35.598003","139.668747","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
"10","鵜の木1～3丁目、千鳥1丁目1番1・2号、千鳥1丁目1番13～30号、千鳥1丁目 2番14～31号、千鳥1丁目3～19番、千鳥1丁目20番1～3号、千鳥1丁目20番7～10号、千鳥1丁目21番4号～12号、千鳥1丁目22番、千鳥1丁目23番5～16号、千鳥1丁目24～26番、千鳥2丁目1～5番、千鳥2丁目6番5～16号、千鳥2丁目7～26番、千鳥2丁目28～35番、千鳥2丁目37番、千鳥3丁目3番1～3号、千鳥3丁目3番30～33号、千鳥3丁目7番7～10号、南久が原1・2丁目","地域包括支援センターたまがわ","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾀﾏｶﾞﾜ","03-5732-1026","03-5732-1027","146-0092","大田区下丸子4-23-1 特別養護老人ホームたまがわ内","35.571056","139.679398","JGD2011","〔平日〕9時～19時／〔土曜日〕9時～17時","","〇","","","","〇",""
