"","夫婦ともに定時退社で融通性あり(n=105)(％)","夫は長時間残業で融通性なし(n=168)(％)"
"子どもの看護のための休暇","23.8","35.1"
"正社員のままでの短時間勤務","22.9","36.3"
"フレックスタイム制度","22.9","32.7"
"妊娠中の特別休暇や短時間勤務","21.0","28.6"
"子どもの学期に合わせた勤務制度","20.0","31.5"
"週に2-4日の勤務制度","18.1","34.5"
"半日や時間単位の有給休暇","15.2","29.2"
"在宅勤務","15.2","29.8"
"法定以上の期間の育児休業","15.2","32.1"
"始業･就業時刻の繰上げ繰り下げ制度","13.3","25.6"
"パートになっても正社員に戻れる","11.4","20.8"
"子一人に休業を分割して取得できる","8.6","19.6"
"法定を上回る父親の出産休暇","8.6","23.2"
"所定外労働の免除","6.7","22.0"
"転勤の免除等の配慮","6.7","15.5"
"再雇用制度","5.7","17.9"
"その他","1.0","4.8"
"いずれもない","31.4","20.2"
