"","施設数","マニュアルやガイドライン等を活用／施設数","マニュアルやガイドライン等を活用／割合","所・園内での健康安全に関する会議での内容／施設数","所・園内での健康安全に関する会議での内容／割合","研修会や講演会での内容／施設数","研修会や講演会での内容／割合","緊急時を想定したシミュレーション訓練の実施／施設数","緊急時を想定したシミュレーション訓練の実施／割合","かかりつけ医・嘱託医に相談／施設数","かかりつけ医・嘱託医に相談／割合","職員間で相談／施設数","職員間で相談／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","122","96","78.7","72","59.0","72","59.0","36","29.5","33","27.0","84","68.9","12","9.8","2","1.6"
"認証保育所＊","21","9","42.9","10","47.6","13","61.9","2","9.5","6","28.6","13","61.9","3","14.3","",""
"認定こども園＊","4","3","75.0","3","75.0","3","75.0","3","75.0","1","25.0","2","50.0","","","",""
"幼稚園＊","12","7","58.3","7","58.3","4","33.3","3","25.0","3","25.0","10","83.3","2","16.7","",""
"ベビーホテル","5","2","40.0","2","40.0","3","60.0","","","3","60.0","4","80.0","","","",""
"家庭的保育","7","3","42.9","1","14.3","2","28.6","","","2","28.6","2","28.6","2","28.6","",""
"学童保育","17","9","52.9","4","23.5","10","58.8","4","23.5","","","11","64.7","3","17.6","",""
"上記以外の施設","3","1","33.3","","","","","","","1","33.3","3","100.0","","","",""
"総数","191","130","68.1","99","51.8","107","56.0","48","25.1","49","25.7","129","67.5","22","11.5","2","1.0"
"＊前回調査施設 (再掲）","159","115","72.3","92","57.9","92","57.9","44","27.7","43","27.0","109","68.6","17","10.7","2","1.3" 
