"","児童総数(人)","0歳児／人数(人)","0歳児／割合(%)","1歳児／人数(人)","1歳児／割合(%)","2歳児／人数(人)","2歳児／割合(%)","3歳児／人数(人)","3歳児／割合(%)","4歳児／人数(人)","4歳児／割合(%)","5歳児／人数(人)","5歳児／割合(%)","小学１年生／人数(人)","小学１年生／割合(%)","小学２年生／人数(人)","小学２年生／割合(%)","小学３年生／人数(人)","小学３年生／割合(%)","その他／人数(人)","その他／割合(%)","無回答／人数(人)","無回答／割合(%)"
"認可保育所＊","159767","12520","7.8","24609","15.4","29052","18.2","31375","19.6","31319","19.6","30573","19.1","48","0.0","39","0.0","25","0.0","125","0.1","82","0.1"
"認証保育所＊","18071","4178","23.1","5590","30.9","4606","25.5","1659","9.2","1116","6.2","865","4.8","0","0.0","0","0.0","0","0.0","0","0.0","57","0.3"
"認定こども園＊","15956","409","2.6","842","5.3","1023","6.4","4412","27.7","4607","28.9","4648","29.1","1","0.0","1","0.0","1","0.0","11","0.1","1","0.0"
"幼稚園＊","111392","21","0.0","47","0.0","1204","1.1","33303","29.9","37949","34.1","38270","34.4","66","0.1","68","0.1","62","0.1","143","0.1","259","0.2"
"ベビーホテル","9405","1110","11.8","2223","23.6","2225","23.7","1453","15.4","1124","12.0","1008","10.7","75","0.8","48","0.5","36","0.4","57","0.6","46","0.5"
"家庭的保育","1869","570","30.5","839","44.9","425","22.7","16","0.9","0","0.0","3","0.2","0","0.0","0","0.0","0","0.0","0","0.0","16","0.9"
"学童保育","76220","179","0.2","201","0.3","227","0.3","212","0.3","99","0.1","88","0.1","26638","34.9","22944","30.1","17039","22.4","8387","11.0","206","0.3"
"上記以外の施設","10934","1096","10.0","2094","19.2","2177","19.9","1630","14.9","1419","13.0","1251","11.4","394","3.6","96","0.9","59","0.5","103","0.9","615","5.6"
"総数","403614","20083","5.0","36445","9.0","40939","10.1","74060","18.3","77633","19.2","76706","19.0","27222","6.7","23196","5.7","17222","4.3","8826","2.2","667","0.2"
"＊前回調査施設 (再掲）","305186","17128","5.6","31088","10.2","35885","11.8","70749","23.2","74991","24.6","74356","24.4","115","0.0","108","0.0","88","0.0","279","0.1","399","0.1" 
