"","7年度","7年度(%)","8年度","8年度(%)","9年度","9年度(%)","10年度","10年度(%)","11年度","11年度(%)","p値"
"持続性せき／A群","15","1.3","19","1.7","17","1.6","15","1.4","12","1.2","0.322"
"持続性せき／B群","9","1.8","9","1.9","7","1.6","10","2.3","9","2.1",""
"持続性せき／C群","12","1.3","13","1.4","16","1.8","17","2.0","12","1.6",""
"持続性せき／D群","26","2.1","25","1.9","15","1.3","19","1.8","19","1.8",""
"持続性たん／A群","11","1.0","13","1.1","14","1.3","12","1.1","8","0.8","0.444"
"持続性たん／B群","5","1.0","6","1.2","8","1.8","4","0.9","4","1.0",""
"持続性たん／C群","7","0.8","9","0.9","15","1.7","14","1.7","10","1.3",""
"持続性たん／D群","22","1.8","17","1.3","12","1.0","15","1.4","15","1.5",""
"ぜい鳴／A群","61","5.3","55","4.8","64","6.0","55","5.2","60","5.8","0.622"
"ぜい鳴／B群","28","5.7","30","6.2","16","3.6","20","4.5","15","3.6",""
"ぜい鳴／C群","40","4.4","49","5.2","54","6.2","38","4.6","37","4.9",""
"ぜい鳴／D群","63","5.2","69","5.4","62","5.3","66","6.1","49","4.7",""
"ぜん息様症状(現在)／A群","77","6.7","80","7.0","81","7.6","73","6.9","74","7.2","0.511"
"ぜん息様症状(現在)／B群","41","8.4","26","5.4","29","6.5","31","7.0","27","6.4",""
"ぜん息様症状(現在)／C群","66","7.2","64","6.7","64","7.3","72","8.7","66","8.7",""
"ぜん息様症状(現在)／D群","91","7.5","100","7.8","71","6.1","72","6.7","81","7.8",""
"鼻炎様症状（一年中）／A群","62","5.4","49","4.3","42","3.9","53","5.0","54","5.3","0.000"
"鼻炎様症状（一年中）／B群","27","5.5","25","5.2","27","6.1","19","4.3","30","7.1",""
"鼻炎様症状（一年中）／C群","54","5.9","61","6.4","57","6.5","58","7.0","52","6.9",""
"鼻炎様症状（一年中）／D群","74","6.1","91","7.1","77","6.6","67","6.2","76","7.4",""
"鼻炎様症状（春）／A群","203","17.6","170","14.9","189","17.6","168","16.0","180","17.5","0.000"
"鼻炎様症状（春）／B群","104","21.3","79","16.4","85","19.1","88","20.0","89","21.2",""
"鼻炎様症状（春）／C群","133","14.6","125","13.2","118","13.5","101","12.2","94","12.4",""
"鼻炎様症状（春）／D群","158","13.0","155","12.0","162","13.9","147","13.7","147","14.2",""
