"","施設数","マニュアルやガイドライン等の資料の内容の確認／施設数","マニュアルやガイドライン等の資料の内容の確認／割合","所・園内でのアレルギー対策に関する話し合いの設定／施設数","所・園内でのアレルギー対策に関する話し合いの設定／割合","研修会や講演会に参加する努力／施設数","研修会や講演会に参加する努力／割合","相談できる関係機関の把握／施設数","相談できる関係機関の把握／割合","職員間で相談できる環境の整備／施設数","職員間で相談できる環境の整備／割合","今後検討予定／施設数","今後検討予定／割合","特になし／施設数","特になし／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","632","39.8","657","41.4","894","56.3","408","25.7","574","36.1","67","4.2","194","12.2","60","3.8","115","7.2"
"認証保育所＊","527","230","43.6","223","42.3","291","55.2","135","25.6","213","40.4","43","8.2","45","8.5","15","2.8","38","7.2"
"認定こども園＊","95","35","36.8","33","34.7","49","51.6","22","23.2","32","33.7","6","6.3","16","16.8","1","1.1","7","7.4"
"幼稚園＊","666","127","19.1","224","33.6","195","29.3","138","20.7","281","42.2","25","3.8","138","20.7","24","3.6","39","5.9"
"ベビーホテル","331","105","31.7","117","35.3","135","40.8","83","25.1","120","36.3","19","5.7","55","16.6","18","5.4","30","9.1"
"家庭的保育","596","112","18.8","46","7.7","176","29.5","102","17.1","66","11.1","30","5.0","206","34.6","40","6.7","74","12.4"
"学童保育","1169","351","30.0","329","28.1","491","42.0","196","16.8","435","37.2","58","5.0","244","20.9","25","2.1","99","8.5"
"上記以外の施設","376","129","34.3","138","36.7","136","36.2","83","22.1","162","43.1","26","6.9","66","17.6","19","5.1","25","6.6"
"総数","5348","1721","32.2","1767","33.0","2367","44.3","1167","21.8","1883","35.2","274","5.1","964","18.0","202","3.8","427","8.0"
"＊前回調査施設 (再掲）","2876","1024","35.6","1137","39.5","1429","49.7","703","24.4","1100","38.2","141","4.9","393","13.7","100","3.5","199","6.9" 
