"年次／月","検案／23年","検案／24年","検案／25年","検案／26年","検案／27年","解剖／23年","解剖／24年","解剖／25年","解剖／26年","解剖／27年"
"1月(人)","1693(69)","1614(59)","1710","1496","1686","324","290","299","257","307"
"2月(人)","1269(47)","1451(65)","1313","1307","1331","281","280","201","233","238"
"3月(人)","1281(65)","1332(41)","1175","1239","1272","249","262","207","197","243"
"4月(人)","1084(32)","1105","1012","1082","1041","197","191","166","185","189"
"5月(人)","1076(39)","1068","1024","1009","949","208","149","183","171","146"
"6月(人)","1040(47)","913","877","888","866","166","151","179","132","150"
"7月(人)","1075(38)","952","1168","950","1012","186","174","181","156","190"
"8月(人)","1152(68)","1028","1150","989","1167","220","175","169","173","187"
"9月(人)","912(28)","894","866","842","868","149","159","117","122","156"
"10月(人)","961(33)","991","934","973","931","186","161","175","144","142"
"11月(人)","1052(23)","1168","1092","1060","1070","195","192","197","183","153"
"12月(人)","1402(67)","1433","1272","1466","1232(19)","263","267","264","272","213"
"計(人)","13997(556)","13949(165)","13593","13301","13425(19)","2624","2451","2338","2225","2314"
"男(人)","8889","8715","8638","8486","8627","1810","1695","1604","1571","1652"
"女(人)","5105","5232","4955","4813","4797","814","756","734","654","662"
"不詳(人)","3","2","","2","1","","","","",""
"月平均(人)","1166","1162","1133","1108","1119","219","204","195","185","193"
"前年比(%)","-2.77","-0.34","-2.55","-2.15","0.93","-1.06","-6.59","-4.61","-4.83","4"
"指数(%)","100","99.7","97.1","95","95.9","100","93.4","89.1","84.8","88.2"
"解剖率(%)","","","","","","18.7","17.6","17.2","16.7","17.2"
"区分(年度)","23","24","25","26","27","23","24","25","26","27"
"計(人)","14151","13750","13438","13548","13049","2602","2326","2318","2326","2227"
"月平均(人)","1179","1146","1120","1129","1087","217","194","193","194","186"
"前年比(%)","-3.08","-2.83","-2.27","0.83","-3.68","-11.19","-10.61","-0.34","0.35","-4.26"
"指数(%)","100","97.2","95","95.7","92.2","100","89.4","89.1","89.4","85.6"
"解剖率(%)","","","","","","18.4","16.9","17.2","17.2","17.1"
