"","14年度(8688人)(％)","19年度(7988人)(％)"
"子育てに理解のある職場環境の整備","39.3","44.1"
"子どもが病気やけがをしたときに休暇を取れる制度の充実","35.8","31.3"
"育児手当など経済的な手当の充実","33.9","50.6"
"仕事の時間を短縮したり、ずらしたりする制度","27.4","28.4"
"子どもの遊び場環境の整備","23.8","16.1"
"育児休業制度の普及","15.9","17.5"
"夜間・休日を問わず、子どもを預けられる保育サービスの整備","14.7","14.3"
"出産・育児のために退職した人が復帰できる制度の充実","14.6","13.5"
"子育て家庭の住宅環境の整備","14.5","11.1"
"職場内保育施設の整備","14.4","12.0"
"男女が共に子育てに携わる意識啓発","13.8","13.9"
"小学生の子どもを預けられるサービスの整備","8.4","10.5"
"出産や子育てに関する情報提供や相談の場の整備","4.4","3.7"
"求職中に子どもを預けられるサービスの整備","3.7","3.7"
"特にない","3.1","1.7"
"その他","3.1","4.5"
"無回答","1.4","0.9"
