行,EPSGコード,経度,緯度,医療機関名,郵便番号,住所,電話番号,URL
1,EPSG:6668,139.4820003,35.51890317,すずかけ台診療所,194-0001,町田市つくし野3-17-9,042-795-2121,http://home.u00.itscom.net/suzukake/
2,EPSG:6668,139.4601937,35.53384361,鹿島内科クリニック,194-0015,町田市金森東1-25-29 金森メディカルプラザＡ棟１号,042-710-1800,https://kashima-naika.jp/
3,EPSG:6668,139.4716709,35.53128533,さぬき診療所,194-0003,町田市小川2-25-14 ,042-706-8766,https://sanuki92.com/
4,EPSG:6668,139.4703818,35.5110035,たなかだて内科・呼吸器内科クリニック,194-8589,町田市鶴間3-3-1 グランベリーパーク ステーションコート2F,042-850-5027,https://www.tanakadate-clinic.com/
5,EPSG:6668,139.4712464,35.50683739,南町田病院,194-0004 ,町田市鶴間4-4-1,042-799-6161,https://www.mmhp.jp/
6,EPSG:6668,139.4480823,35.54025167,佐藤寿一クリニック,194-0013 ,町田市原町田1-7-17 ｶﾞﾚﾘｱ町田ﾋﾞﾙ2F,042-710-2251,https://www.satojuichi-clinic.com/
7,EPSG:6668,139.4477235,35.54541461,フォレスト呼吸器内科クリニック町田,194-0013 ,町田市原町田6-28-15　クロノス町田101 ,042-710-4100,https://forest-clinic.jp/
8,EPSG:6668,139.4633005,35.54032561,仁愛医院,194-0014 ,町田市高ケ坂6-19-31,042-728-1055,https://www.jinai-iin.jp/
9,EPSG:6668,139.448079,35.54292747,脳神経まちだクリニック,194-0013,町田市原町田６ー２１－２６フォーラム町田３B,042-732-6077,https://neuro-machida.jp/
10,EPSG:6668,139.4453645,35.54506978,町田駅前内科クリニック,194-0022 ,町田市森野1-39-16 渋谷一樹ビル3F ,042-722-7373,https://machida-ekimaenaika.com/
11,EPSG:6668,139.4550543,35.56573489,たまがわ医院,194-0041 ,町田市玉川学園4-16-40 ,042-720-3888,https://www.tamagawaiin.com/
12,EPSG:6668,139.4386764,35.57119911,川村クリニック,194-0032 ,町田市本町田2943-1 サンライズヒル2F,042-724-7727,https://kawamura-clinic.jp/
13,EPSG:6668,139.4553538,35.57550517,若山クリニック,195-0072 ,町田市金井2-3-18,042-736-7720,https://www.wakayamaclinic.com
14,EPSG:6668,139.4612413,35.58031656,榛名坂たなか内科クリニック,195-0072 ,町田市金井3-17-13 ,042-737-3860,
15,EPSG:6668,139.4960208,35.58051283,河辺内科医院,195-0054 ,町田市三輪町168-1 フェリシア三輪,044-328-5143,http://kawabe-cl.com
16,EPSG:6668,139.4967348,35.57226922,鶴川記念病院,195-0054 ,町田市三輪町1059-1,044-987-1311,https://www.tsurukawakinen.or.jp/
17,EPSG:6668,139.4592941,35.60374411,鶴川サナトリウム病院,195-0051,町田市真光寺町197,042-735-2222,https://www.tsurusana.com/
18,EPSG:6668,139.4757973,35.58405083,にしむら内科クリニック,195-0062 ,町田市大蔵町2222-5 NSﾋﾞﾙⅡ-1F,042-708-1024,https://www.nishimura-cl.jp
19,EPSG:6668,139.4700152,35.59089,鶴川診療所,195-0061 ,町田市鶴川6-7-1 レクセル鶴川202号 ,042-735-2387,http://www17.plala.or.jp/turukawasinryou/ 
20,EPSG:6668,139.4806914,35.58343303,なかの整形外科・内科,195-0053 ,町田市能ヶ谷1-5-8 鶴川ｲﾝﾍﾟﾘｱﾙﾋﾞﾙ4F-A,042-737-3669,https://www.kanja.jp/nakano-seikei/
21,EPSG:6668,139.4786343,35.59089031,増子クリニック,195-0053 ,町田市能ヶ谷7-11-5,042-735-1499,https://masuko-clinic.jimdo.com
22,EPSG:6668,139.4549028,35.57780192,薬師台おはなぽっぽクリニック,195-0073,町田市薬師台1-25-12　薬師台メディカルテラス,042-737-7373,https://taidaikai.com/yopc/
23,EPSG:6668,139.432188,35.57901922,しながわ内科・循環器クリニック,195-0074,町田市山崎町333-1,042-791-1545,https://www.shinagawaclinic.com
24,EPSG:6668,139.4278631,35.58358644,Ｄｒ．はん診療所,194-0203 ,町田市図師町1782 吉野ﾋﾞﾙ1F,042-789-7270,https://www.drhan.jp
25,EPSG:6668,139.414553,35.57849375,久田内科・呼吸器内科クリニック,194-0035,町田市忠生3-20-2,042-793-4114,https://www.suimin20111115.com/
26,EPSG:6668,139.4311305,35.56886544,ふくいんクリニック,195-0074 ,町田市山崎町2200,042-791-1307,http://www.fukuinclinic.jp
27,EPSG:6668,139.4169725,35.56863158,南東京ハートクリニック,194-0037,町田市木曽西2-18-12,042-789-8100,http://www.myheart-clinic.jp
28,EPSG:6668,139.4317859,35.57133631,やました内科・脳神経クリニック,195-0074,町田市山崎町2055-2グランハート町田B-107,042-794-6327,https://clinic-yaman.jp
29,EPSG:6668,139.3705099,35.59591978,泰生医院,194-0212 ,町田市小山町2470-5,042-797-7423,https://www.taisei-iin.net/
30,EPSG:6668,139.3948799,35.58614011,たかはしクリニック,194-0213 ,町田市常盤町3200-1 ルーラルヒルズA号室,042-798-7755,https://www.takahashiclinic-machida.com/
31,EPSG:6668,139.3948799,35.58614011,さくらメディカルクリニック,194-0213,町田市常盤町3200-1 ルーラルヒルズ2FA,042-797-9671,http://sakura-med.net/
32,EPSG:6668,139.3471264,35.60302125,花いかだ心療クリニック,194-0212,町田市小山町4405-1,042-703-8130,
