"年月[西暦]","調査項目","設問","住宅関連のサービス","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア. 公営住宅の優先入居","利用したことがある","55","3.9","4.8"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア. 公営住宅の優先入居","今後利用したい","233","16.7","20.3"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア. 公営住宅の優先入居","知っているが利用したいと思わない","288","20.7","25.2"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア. 公営住宅の優先入居","知らない","569","40.8","49.7"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア. 公営住宅の優先入居","無回答","249","17.9",
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ. 住宅設備改善および日常生活用具の給付","利用したことがある","152","10.9","13.2"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ. 住宅設備改善および日常生活用具の給付","今後利用したい","310","22.2","27.0"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ. 住宅設備改善および日常生活用具の給付","知っているが利用したいとは思わない","182","13.1","15.8"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ. 住宅設備改善および日常生活用具の給付","知らない","506","36.3","44.0"
"202003","生活状況等について","Q3. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ. 住宅設備改善および日常生活用具の給付","無回答","244","17.5",
