区分,平成2年世帯数[人],平成2年構成比[％],平成7年世帯数[人],平成7年構成比[％],平成12年世帯数[人],平成12年構成比[％],平成17年世帯数[人],平成17年構成比[％],平成22年世帯数[人],平成22年構成比[％]
1人,26197,31,29580,33.83084577,34114,36.45320197,44276,41.3,54096,44.89
2人,18407,21.8,20832,23.82569909,24545,26.22805424,28237,26.3,31417,26.07
3人,14828,17.5,15331,17.53416824,16195,17.30549352,17111,16.1,17953,14.9
4人,15952,18.9,14431,16.50483216,13134,14.0346003,12688,11.8,12274,10.19
5人,5884,7,4895,5.598444559,3970,4.242223481,3622,3.4,3453,2.87
6人,2267,2.6,1696,1.939726654,1195,1.276941325,969,0.9,939,0.78
7人,731,0.8,531,0.607308286,335,0.357970999,255,0.2,273,0.23
8人,165,0.2,98,0.112083262,62,0.066251349,47,0,66,0.05
9人,23,0.1,16,0.1,8,0.008548561,14,0,12,0.01
10人以上,29,0.1,25,0.1,25,0.026714254,26,0,21,0.02
計,84483,100,87435,100,93583,100,107245,100,120504,100.01
