,,平成19年,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年
墨田区,総数,230131,233241,235571,238356,240380,240691,242805,245318,248558,251050
墨田区,0歳から14歳,24842,25302,25457,25680,25917,25864,26056,26106,26416,26846
墨田区,0歳から14歳の構成比,10.8,10.8,10.8,10.8,10.8,10.7,10.7,10.6,10.6,10.7
墨田区,15歳から64歳,157127,158377,159182,160547,161847,161681,161841,162628,163894,164921
墨田区,15歳から64歳の構成比,68.3,67.9,67.6,67.3,67.3,67.2,66.7,66.3,66,65.7
墨田区,65歳以上,48162,49562,50932,52129,52616,53146,54908,56584,58248,59283
墨田区,65歳以上の構成比,20.9,21.3,21.6,21.9,21.9,22.1,22.6,23.1,23.4,23.6
特別区人口構成比,0歳から14歳,11.2,11.2,11.2,11.2,11.3,11.3,11.3,11.3,11.4,11.4
特別区人口構成比,15歳から64歳,69.7,69.3,68.9,68.5,68.4,68.2,67.5,67,66.5,66.3
特別区人口構成比,65歳以上,19.1,19.5,19.9,20.3,20.3,20.5,21.2,21.7,22.1,22.3
