和暦（年次）,西暦（年次）,総数,区部,市部,郡部,島部
昭和62年中,1987年中,1292,-45968,46524,1047,-311
昭和63年中,1988年中,-1324,-38536,36702,765,-255
平成元年中,1989年中,-25280,-65676,39890,643,-137
平成2年中,1990年中,-14192,-50980,36440,656,-308
平成3年中,1991年中,21832,-15482,37097,500,-283
平成4年中,1992年中,-9661,-37532,27911,178,-218
平成5年中,1993年中,-38466,-57096,18320,229,81
平成6年中,1994年中,-39608,-52131,12410,88,25
平成7年中,1995年中,-19001,-32555,13489,-26,91
平成8年中,1996年中,23932,6170,18122,-174,-186
平成9年中,1997年中,50830,25596,25763,-296,-233
平成10年中,1998年中,67727,40320,27619,-128,-84
平成11年中,1999年中,75307,45402,30194,-148,-141
平成12年中,2000年中,95709,69065,30517,-39,-3816
平成13年中,2001年中,115993,83812,32695,-40,-282
平成14年中,2002年中,108226,76634,31889,30,-160
平成15年中,2003年中,95991,63476,33216,-259,-300
平成16年中,2004年中,91396,58453,33729,-363,-296
平成17年中,2005年中,101874,74532,24906,-380,3073
平成18年中,2006年中,98957,76686,22593,-125,-197
,,,,,,
人口の動き（平成18年中）,,,,,,
第９表　地域別人口増減　（昭和62年～平成18年）             ,,,,,,
注)　平成12年国勢調査において三宅村の人口がゼロとなったため、その後の住民基本台帳等の増減数は三宅村には加えず、総数のみに加えた。このため、平成13年から平成17年までにおいて、総数と各区市町村の合計は一致しない。,,,,,,
