年次（和暦）,年次（西暦）,社会動態／転入,社会動態／転出,自然動態／出生,自然動態／死亡,移動指数,移動率(％),移動者数に対する割合（％)／転入,移動者数に対する割合（％)／転出,移動者総数,10月1日現在住民基本台帳人口
昭和62年中,1987年中,100,100,100,100,100,8.5,47.2,52.8,1004903,11756523
昭和63年中,1988年中,96,99.5,95.5,103.3,97.8,8.4,46.4,53.6,983172,11729428
平成元年中,1989年中,95.8,97.3,90.1,106.3,96.6,8.3,46.9,53.1,970685,11709398
平成2年中,1990年中,95.5,95,88,110.7,95.2,8.2,47.4,52.6,956673,11693477
平成3年中,1991年中,94.3,91.4,87.6,111.4,92.7,8,48,52,931839,11694052
平成4年中,1992年中,91.5,91.6,85.7,114.8,91.6,7.9,47.2,52.8,920224,11683185
平成5年中,1993年中,89.4,92.9,83.6,118.6,91.3,7.9,46.3,53.7,917167,11643378
平成6年中,1994年中,88.5,90.7,86.6,118.8,89.7,7.8,46.6,53.4,901051,11607137
平成7年中,1995年中,90.7,87.5,82.8,124.9,89,7.7,48.1,51.9,894430,11592359
平成8年中,1996年中,90.9,82.7,83.1,121.6,86.6,7.5,49.6,50.4,870053,11604177
平成9年中,1997年中,91.8,79.1,83.3,124.9,85.1,7.3,50.9,49.1,855202,11641165
平成10年中,1998年中,92.7,77.2,84.1,127.2,84.5,7.3,51.8,48.2,849492,11691277
平成11年中,1999年中,92,75.5,83.4,135.1,83.3,7.1,52.2,47.8,836986,11744762
平成12年中,2000年中,93.6,73.7,85.4,133.1,83.1,7.1,53.2,46.8,834991,11814109
平成13年中,2001年中,94.8,71.9,83.7,133.7,82.7,7,54.1,45.9,831319,11895235
平成14年中,2002年中,93.3,70,84.8,134.1,81,6.8,54.4,45.6,813800,11988676
平成15年中,2003年中,92.9,70.9,83.4,137.8,81.3,6.8,54,46,817167,12065354
平成16年中,2004年中,91.3,68.2,84.6,140.5,79.1,6.5,54.5,45.5,794982,12148203
平成17年中,2005年中,91.9,67.4,82.2,147.9,79,6.5,55,45,793643,12234975
平成18年中,2006年中,91.7,67.3,86.3,148.2,78.8,6.4,55,45,792361,12328919
,,,,,,,,,,,
人口の動き（平成18年中）,,,,,,,,,,,
第７表　変動要因別人口指数の推移／(参考) 移動指数､移動率の推移（昭和62年～平成18年）,,,,,,,,,,,
注１）　昭和62年=100,,,,,,,,,,,
注２）　移動率とは、10月1日現在の住民基本台帳人口に対する移動者総数の割合をいう。,,,,,,,,,,,
注３）　移動者総数とは、転入、転出の合計である。,,,,,,,,,,,
