年次（和暦）,年次（西暦）,人口増減,社会動態／社会増減,社会動態／転入,社会動態／転出,都内間の移動増減,自然動態／自然増減,自然動態／出生,自然動態／死亡,その他の増減／外国人登録人口,その他の増減／記載・消除等
昭和62年中,1987年中,1292,-55491,474706,530197,8418,54910,118390,63480,14341,-20886
昭和63年中,1988年中,-1324,-71570,455801,527371,5500,47500,113094,65594,32401,-15155
平成元年中,1989年中,-25280,-61055,454815,515870,3748,39123,106614,67491,7390,-14486
平成2年中,1990年中,-14192,-50441,453116,503557,2815,33963,104237,70274,9605,-10134
平成3年中,1991年中,21832,-36917,447461,484378,2376,33048,103736,70688,29526,-6201
平成4年中,1992年中,-9661,-51186,434519,485705,1625,28581,101440,72859,13408,-2089
平成5年中,1993年中,-38466,-68433,424367,492800,1912,23698,98973,75275,6283,-1926
平成6年中,1994年中,-39608,-60951,420050,481001,1935,27070,102469,75399,-4530,-3132
平成7年中,1995年中,-19001,-33692,430369,464061,1015,18743,98061,79318,-4628,-439
平成8年中,1996年中,23932,-6963,431545,438508,492,21205,98384,77179,1539,7659
平成9年中,1997年中,50830,16184,435693,419509,928,19352,98638,79286,4840,9526
平成10年中,1998年中,67727,30704,440098,409394,702,18872,99620,80748,6868,10581
平成11年中,1999年中,75307,36624,436805,400181,390,12958,98746,85788,12670,12665
平成12年中,2000年中,95709,53245,444118,390873,-343,16602,101089,84487,19506,6699
平成13年中,2001年中,115993,68457,449888,381431,775,14255,99109,84854,25123,7383
平成14年中,2002年中,108226,72050,442925,370875,-24,15279,100414,85135,12944,7977
平成15年中,2003年中,95991,64859,441013,376154,-310,11256,98730,87474,11068,9118
平成16年中,2004年中,91396,71558,433270,361712,480,10989,100191,89202,-1463,9832
平成17年中,2005年中,101874,78847,436245,357398,-293,3446,97346,93900,10827,9047
平成18年中,2006年中,98957,78545,435453,356908,1177,8143,102194,94051,6722,4370
,,,,,,,,,,,
人口の動き（平成18年中）,,,,,,,,,,,
第６表　変動要因別人口増減の推移（昭和62年～平成18年）,,,,,,,,,,,
注)　この表における「社会増減」は、他県との移動の増減数をいう。,,,,,,,,,,,
