設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
社福法人,千代田区社会福祉協議会,102-0074,千代田区九段南１－６－１０　かがやきプラザ４階,139.749373,35.695088,JGD2011,03-3265-1901
社福法人,全国社会福祉協議会,100-8980,千代田区霞が関３－３－２　新霞が関ビル,139.746288,35.671896,JGD2011,03-3581-7820
社福法人,中央区社会福祉協議会,104-0032,中央区八丁堀４－１－５,139.773013,35.674147,JGD2011,03-3206-0506
社福法人,港区社会福祉協議会,106-0032,港区六本木５－１６－４５　港区麻布地区総合支所２階,139.734967,35.660697,JGD2011,03-6230-0280
社福法人,新宿区社会福祉協議会,169-0075,新宿区高田馬場１－１７－２０,139.707426,35.71161,JGD2011,03-5273-2941
社福法人,東京都社会福祉協議会,162-8953,新宿区神楽河岸１－１　セントラルプラザ５階,139.743579,35.700951,JGD2011,03-3268-7171
社福法人,文京区社会福祉協議会,113-0033,文京区本郷４－１５－１４　文京区民センター４階,139.754238,35.708812,JGD2011,03-3812-3040
社福法人,台東区社会福祉協議会,110-0004,台東区下谷１－２－１１,139.781742,35.717837,JGD2011,03-5828-7545
社福法人,墨田区社会福祉協議会,131-0032,墨田区東向島２－１７－１４　すみだボランティアセンター内,139.815614,35.718386,JGD2011,03-3614-3900
社福法人,江東区社会福祉協議会,135-0016,江東区東陽６－２－１７　高齢者総合福祉センター２階,139.812491,35.674728,JGD2011,03-3647-1895
社福法人,品川区社会福祉協議会,140-0014,品川区大井１－１４－１　大井一丁目共同ビル２階,139.731458,35.607695,JGD2011,03-5718-7171
社福法人,目黒区社会福祉協議会,153-0051,目黒区上目黒２－１９－１５　目黒総合庁舎別館１、３階,139.69859,35.641262,JGD2011,03-3719-8909
社福法人,大田区社会福祉協議会,144-0051,大田区西蒲田７－４９－２　大田区社会福祉センター内,139.712639,35.562558,JGD2011,03-3736-2021
社福法人,世田谷区社会福祉協議会,157-0066,世田谷区成城６－３－１０　成城６丁目事務所棟４階,139.600493,35.640785,JGD2011,03-5429-2200
社福法人,渋谷区社会福祉協議会,150-8010,渋谷区宇田川町１－１　渋谷区役所内,139.697189,35.663475,JGD2011,03-5457-2757
社福法人,中野区社会福祉協議会,164-0001,中野区中野５－６８－７　スマイルなかの４階,139.665196,35.709262,JGD2011,03-5380-0751
社福法人,杉並区社会福祉協議会,167-0032,杉並区天沼３－１９－１６　ウェルファーム杉並２、４階,139.620908,35.71038,JGD2011,03-5347-1010
社福法人,豊島区民社会福祉協議会,170-0013,豊島区東池袋１－３９－２　東池袋分庁舎３、４階,139.714344,35.732564,JGD2011,03-3981-2930
社福法人,北区社会福祉協議会,114-0021,北区岸町１－６－１７,139.734886,35.755034,JGD2011,03-3906-2352
社福法人,荒川区社会福祉協議会,116-0003,荒川区南千住１－１３－２０,139.791377,35.731797,JGD2011,03-3802-2794
社福法人,板橋区社会福祉協議会,173-0004,板橋区板橋２－６５－６　板橋区立情報処理センター,139.708866,35.750014,JGD2011,03-3964-0235
社福法人,練馬区社会福祉協議会,176-0012,練馬区豊玉北５－１４－６　新練馬ビル５階,139.655368,35.736003,JGD2011,03-3992-5600
社福法人,足立区社会福祉協議会,120-0011,足立区中央本町１－１７－１　足立区役所内,139.804584,35.774892,JGD2011,03-3880-5740
社福法人,葛飾区社会福祉協議会,124-0006,葛飾区堀切３－３４－１　地域福祉・障害者センター３階,139.834522,35.744335,JGD2011,03-5698-2411
社福法人,江戸川区社会福祉協議会,132-0031,江戸川区松島１－３８－１　グリーンパレス内,139.866229,35.705756,JGD2011,03-5662-5557
社福法人,八王子市社会福祉協議会,192-8501,八王子市元本郷町３－２４－１　八王子市役所内,139.316075,35.666569,JGD2011,042-620-7338
社福法人,立川市社会福祉協議会,190-0013,立川市富士見町２－３６－４７　立川市総合福祉センター内,139.401802,35.701298,JGD2011,042-529-8300
社福法人,武蔵野市民社会福祉協議会,180-0001,武蔵野市吉祥寺北町１－９－１,139.578459,35.707904,JGD2011,0422-23-0701
社福法人,三鷹市社会福祉協議会,181-0004,三鷹市新川６－３７－１　元気創造プラザ３階福祉センター内,139.561834,35.681774,JGD2011,0422-46-1108
社福法人,青梅市社会福祉協議会,198-0042,青梅市東青梅１－１７７－３　青梅市福祉センター２階,139.274124,35.787565,JGD2011,0428-22-1233
社福法人,府中市社会福祉協議会,183-0055,府中市府中町１－３０　ふれあい会館２階,139.480063,35.675867,JGD2011,042-364-5137
社福法人,昭島市社会福祉協議会,196-0015,昭島市昭和町４－７－１　昭島市保健福祉センター２階,139.364125,35.710835,JGD2011,042-544-0388
