設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
社福法人,慶福育児会麻布乳児院,106-0047,港区南麻布５－１－２０,139.721838,35.653711,JGD2011,03-3446-5361,80
社福法人,東京都済生会中央病院附属乳児院,108-0073,港区三田１－４－１７,139.7442,35.653962,JGD2011,03-3451-8211,35
社福法人,二葉乳児院,160-0012,新宿区南元町４,139.724728,35.681193,JGD2011,03-3359-4578,40
赤十字,日本赤十字社医療センター附属乳児院,150-0012,渋谷区広尾４－１－１,139.719046,35.652906,JGD2011,03-3400-0147,70
社福法人,聖オディリアホーム乳児院,165-0031,中野区上鷺宮５－２８－２８,139.627446,35.732164,JGD2011,03-5971-8071,60
社福法人,聖友乳児院,166-0001,杉並区阿佐谷北３－２８－１９,139.633382,35.711122,JGD2011,03-3338-1849,42
社福法人,カリタスの園つぼみの寮,167-0021,杉並区井草４－１９－２８,139.613394,35.728098,JGD2011,03-3395-0121,50
社福法人,わんぱく乳児院,133-0061,江戸川区篠崎町１－２８－１６,139.906982,35.708305,JGD2011,03-6638-6322,35
社福法人,東京恵明学園乳児部,198-0051,青梅市友田町２－７１４ー１,139.294081,35.768499,JGD2011,0428-23-0241,35
社福法人,愛恵会乳児院,194-0212,町田市小山町３１９１－３,139.361059,35.599698,JGD2011,042-773-2806,55
社福法人,慈生会ナザレットの家,204-0024,清瀬市梅園３－１４－２３,139.501347,35.770518,JGD2011,042-496-7031,40
