地域,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災事故,救急出場件数・運動競技事故,救急出場件数・自然災害事故,救急出場件数・水難事故,救急出場件数・労働災害事故,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材等輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・総数,救護人員・交通事故,救護人員・火災事故,救護人員・運動競技事故,救護人員・自然災害事故,救護人員・水難事故,救護人員・労働災害事故,救護人員・一般負傷,救護人員・自損行為,救護人員・加害,救護人員・急病,救護人員・転院搬送
全庁計,"720,965","38,829","3,209","2,933",7,730,"4,535","133,902","5,700","5,223","476,455","38,980",503,160,"9,799","626,536","35,769",619,"2,917",7,365,"4,478","119,814","4,000","3,930","416,078","38,559"
特別区,"526,241","27,332","2,380","1,923",5,555,"3,350","96,824","3,955","4,135","349,759","28,121",409,128,"7,365","455,279","24,986",465,"1,914",5,281,"3,310","86,465","2,773","3,141","304,055","27,884"
千代田区,"9,516",560,32,23,-,5,140,"1,809",60,79,"6,136",538,6,-,128,"8,330",520,2,22,-,4,139,"1,651",41,67,"5,349",535
中央区,"10,896",658,70,23,-,14,133,"1,869",52,75,"7,177",675,-,-,150,"9,705",601,13,23,-,5,133,"1,705",36,63,"6,456",670
港区,"18,141","1,106",118,74,-,9,257,"3,301",129,222,"11,930",732,6,1,256,"15,672","1,024",11,72,-,4,253,"2,998",87,160,"10,339",724
新宿区,"28,673","1,169",152,109,-,12,188,"5,063",350,456,"19,233","1,397",4,-,540,"23,137","1,016",26,106,-,8,187,"4,384",255,323,"15,445","1,387"
文京区,"10,797",493,52,70,1,8,69,"1,891",64,47,"6,707","1,235",11,-,149,"9,637",452,14,70,1,5,68,"1,734",44,40,"5,992","1,217"
台東区,"16,021",715,73,34,1,23,113,"3,116",102,195,"10,832",590,-,1,226,"13,037",631,13,34,1,13,113,"2,648",64,138,"8,795",587
墨田区,"16,217",835,72,43,-,33,80,"2,833",102,124,"10,680","1,242",7,1,165,"14,075",768,15,43,-,21,81,"2,522",74,102,"9,217","1,232"
江東区,"27,218","1,466",114,172,-,52,296,"4,709",180,206,"18,057","1,451",15,103,397,"23,797","1,387",34,167,-,21,291,"4,289",135,159,"15,874","1,440"
品川区,"20,173","1,032",124,87,-,17,128,"3,815",110,115,"13,528",954,2,-,261,"17,855",952,32,89,-,10,128,"3,458",83,90,"12,064",949
目黒区,"12,384",733,55,44,-,3,85,"2,419",99,89,"8,005",681,23,2,146,"10,840",654,11,44,-,1,84,"2,207",65,60,"7,041",673
大田区,"37,167","2,042",139,127,-,47,284,"7,273",229,227,"24,506","1,825",12,6,450,"32,825","1,829",26,127,-,17,279,"6,409",176,168,"21,986","1,808"
世田谷区,"40,501","2,221",147,219,1,42,176,"7,954",271,229,"26,501","2,123",90,7,520,"35,159","2,010",31,221,1,25,173,"7,144",184,177,"23,082","2,111"
渋谷区,"16,356",944,119,85,1,6,153,"2,933",103,217,"10,801",734,12,6,242,"13,374",855,18,87,1,6,150,"2,588",70,141,"8,729",729
