応援消防本部,事案数・計,事案数・普通応援で対応,事案数・特別応援で対応,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
令和2年,363,354,9,623,427,65,72,59,137,314,8,48,260,"2,337","1,106",1231
川口市,26,26,-,42,28,3,9,2,23,29,1,5,67,156,110,46
秩父,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
埼玉西部,15,15,-,26,18,2,-,6,1,3,-,-,-,97,14,83
草加八潮,35,35,-,35,35,-,-,-,-,-,-,-,-,135,-,135
戸田市,15,15,-,39,19,4,12,4,-,-,-,-,-,104,-,104
埼玉県南西部,51,51,-,74,53,14,4,3,11,33,4,9,73,299,126,173
三郷市,6,6,-,6,6,-,-,-,-,-,-,-,-,19,-,19
市川市,14,14,-,14,14,-,-,-,1,-,-,-,-,56,4,52
松戸市,11,11,-,26,15,2,6,3,1,-,-,-,-,90,3,87
浦安市,14,9,5,35,17,6,8,4,2,8,-,-,-,122,27,95
稲城市,20,16,4,34,23,3,3,5,1,6,-,-,-,114,20,94
横浜市,26,26,-,61,32,10,14,5,20,59,3,34,120,241,211,30
川崎市,84,84,-,119,100,7,5,8,39,84,-,-,-,477,247,230
相模原市,38,38,-,103,59,14,11,19,38,92,-,-,-,401,344,57
大和市,7,7,-,7,7,-,-,-,-,-,-,-,-,25,-,25
都留市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
富士五湖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大月市,1,1,-,1,1,-,-,-,-,-,-,-,-,1,-,1
東山梨,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上野原市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
