発災場所を管轄する消防本部,事案数・計,事案数・普通応援で対応,事案数・特別応援で対応,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
令和2年,234,231,3,514,326,96,56,36,66,178,6,-,360,"2,088",710,"1,378"
川口市,11,11,-,35,17,9,7,2,7,20,-,-,62,140,83,57
秩父,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
埼玉西部,22,22,-,42,31,10,1,-,9,19,4,-,90,166,76,90
草加八潮,2,2,-,2,2,-,-,-,-,-,-,-,-,8,-,8
戸田市,13,13,-,37,19,15,2,1,10,26,-,-,-,138,97,41
埼玉県南西部,12,12,-,19,14,5,-,-,2,5,-,-,104,73,18,55
三郷市,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
市川市,30,29,1,53,38,6,7,2,2,4,-,-,-,210,15,195
松戸市,14,14,-,33,20,3,8,2,-,-,-,-,-,137,-,137
浦安市,22,21,1,35,25,4,5,1,3,7,1,-,60,140,29,111
稲城市,3,3,-,4,3,1,-,-,1,2,-,-,-,15,7,8
横浜市,1,1,-,1,1,-,-,-,-,-,-,-,-,5,-,5
川崎市,84,83,1,212,127,33,24,28,24,78,1,-,44,900,317,583
相模原市,19,19,-,40,28,10,2,-,8,17,-,-,-,152,68,84
大和市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
都留市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
富士五湖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大月市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
東山梨,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上野原市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
