月別,計,大島,利島,新島,式根島,神津島,三宅島,御蔵島,八丈島,青ヶ島,その他
平成28年件数,391,69,8,24,5,23,42,2,51,2,165
平成28年輸送人員,282,67,7,23,5,20,39,2,46,2,71
平成29年件数,423,59,5,31,3,20,39,3,37,2,224
平成29年輸送人員,274,57,5,31,3,19,37,3,34,2,83
平成30年件数,466,82,4,21,7,20,34,7,42,1,248
平成30年輸送人員,264,73,4,22,6,18,31,5,38,1,66
令和元年件数,418,62,8,29,8,22,40,5,44,6,194
令和元年輸送人員,252,55,7,25,8,19,38,4,35,6,55
令和2年件数,367,54,-,24,16,15,19,4,43,3,189
令和2年輸送人員,209,49,-,21,16,13,17,4,34,3,52
1月件数,27,4,-,5,4,2,-,-,2,-,10
1月輸送人員,16,4,-,3,4,2,-,-,2,-,1
2月件数,40,2,-,2,1,3,4,-,5,-,23
2月輸送人員,19,2,-,2,1,1,4,-,5,-,4
3月件数,31,3,-,1,-,1,-,-,6,1,19
3月輸送人員,18,3,-,1,-,1,-,-,5,1,7
4月件数,23,6,-,2,1,1,3,-,1,-,9
4月輸送人員,14,6,-,2,1,1,2,-,1,-,1
5月件数,22,2,-,2,2,-,-,-,4,-,12
5月輸送人員,13,2,-,2,2,-,-,-,3,-,4
6月件数,31,6,-,-,1,1,2,1,4,-,16
6月輸送人員,15,6,-,-,1,1,2,1,3,-,1
7月件数,21,3,-,3,1,1,4,-,1,-,8
7月輸送人員,11,2,-,2,1,1,3,-,1,-,1
8月件数,35,3,-,1,2,2,1,-,7,1,18
8月輸送人員,20,3,-,1,2,2,1,-,4,1,6
9月件数,30,2,-,3,1,-,2,1,2,-,19
9月輸送人員,17,2,-,3,1,-,2,1,2,-,6
10月件数,28,5,-,1,2,4,1,1,1,-,13
10月輸送人員,21,5,-,1,2,4,1,1,1,-,6
11月件数,33,7,-,-,-,-,1,1,5,-,19
11月輸送人員,20,5,-,-,-,-,1,1,4,-,9
12月件数,46,11,-,4,1,-,1,-,5,1,23
12月輸送人員,25,9,-,4,1,-,1,-,3,1,6
