覚知方法,計・火災件数,計・建物火災・  小計,計・建物火災・  全焼,計・建物火災・  半焼,計・建物火災・  部分焼,計・建物火災・  ぼや,計・建物以外の火災,計・火災１件当たり焼損床面積(㎡),計・損害額(円),特別区・火災件数,特別区・建物・小計,特別区・建物・全焼,特別区・建物・半焼,特別区・火災・部分焼,特別区・火災・ぼや,特別区・建物以外の火災,特別区・火災１件当たり焼損床面積（㎡）,特別区・損害額（円）,受託地区・火災件数,受託地区・建物火災・小計,受託地区・建物火災・全焼,受託地区・建物火災・半焼,受託地区・建物火災・部分焼,受託地区・建物火災・ぼや,受託地区・建物以外の火災,受託地区・火災１件当たり焼損床面積(㎡),受託地区・損害額(円)
平成28年,"3,980","2,766",75,89,421,"2,181","1,214",6.3,"1,237,289","3,008","2,154",37,60,335,"1,722",854,5.5,"1,322,923",972,612,38,29,86,459,360,9.4,"972,280"
平成29年,"4,204","2,837",84,77,474,"2,202","1,367",7.3,"1,224,322","3,098","2,192",49,56,354,"1,733",906,6.2,"1,252,059","1,106",645,35,21,120,469,461,11,"1,146,627"
平成30年,"3,972","2,696",64,87,447,"2,098","1,276",6.9,"1,528,445","2,912","2,047",27,66,330,"1,624",865,5.4,"805,545","1,060",649,37,21,117,474,411,11.7,"3,514,373"
令和元年,"4,085","2,904",81,83,455,"2,285","1,181",6.3,"1,882,238","3,049","2,228",39,55,355,"1,779",821,5.4,"1,877,518","1,036",676,42,28,100,506,360,9.4,"1,896,128"
令和2年,"3,693","2,667",63,73,404,"2,127","1,026",6.1,"1,516,795","2,736","2,061",30,53,316,"1,662",675,5.1,"1,651,268",957,606,33,20,88,465,351,9.3,"1,132,344"
報知電話,"1,722","1,248",60,64,363,761,474,12.2,"3,087,216","1,258",949,29,48,286,586,309,10.8,"3,491,847",464,299,31,16,77,175,165,16.8,"1,990,177"
加入電話,45,29,-,-,2,27,16,-,"85,410",29,21,-,-,1,20,8,-,"124,308",16,8,-,-,1,7,8,-,"14,907"
警察電話,198,101,3,8,19,71,97,8.3,"1,065,491",152,78,1,4,14,59,74,3.5,"459,868",46,23,2,4,5,12,23,24.6,"3,066,679"
専用電話,14,2,-,-,-,2,12,-,"249,668",10,1,-,-,-,1,9,-,"113,326",4,1,-,-,-,1,3,-,"590,525"
駆付,14,4,-,-,-,4,10,-,"16,725",12,4,-,-,-,4,8,-,"19,513",2,-,-,-,-,-,2,-,-
事後聞知,"1,664","1,267",-,-,16,"1,251",397,-,"30,424","1,251",999,-,-,14,985,252,-,"32,788",413,268,-,-,2,266,145,-,"23,265"
その他,36,16,-,1,4,11,20,3.6,"449,186",24,9,-,1,1,7,15,3.7,"384,812",12,7,-,-,3,4,5,3.4,"577,933"
