区分,許可・設置,許可・変更,完成検査・設置,完成検査・変更,"仮使用承認","譲渡引渡届",品名、数量の倍数変更届,廃止届,資料提出
計,311,661,310,661,482,92,196,273,1212
製造所,3,12,-,13,12,1,6,1,14
貯蔵所,163,134,205,127,50,61,151,168,277
屋内貯蔵所,17,4,22,7,4,4,59,42,15
屋外タンク貯蔵所,3,11,5,9,8,1,4,11,20
屋内タンク貯蔵所,16,22,25,17,19,6,2,24,17
地下タンク貯蔵所,60,51,85,47,19,13,7,62,46
簡易タンク貯蔵所,1,-,-,-,-,-,-,-,-
移動タンク貯蔵所,65,46,67,46,-,35,75,27,179
屋外貯蔵所,1,-,1,1,-,2,4,2,-
取扱所,145,515,105,521,420,30,39,104,921
給油取扱所,8,236,10,241,194,9,5,34,677
営業用,5,206,6,209,175,7,5,20,645
自家用,3,30,4,32,19,2,-,14,32
販売取扱所,-,1,-,1,-,3,2,12,-
第１種,-,1,-,1,-,2,1,10,-
第２種,-,-,-,-,-,1,1,2,-
移送取扱所,-,-,-,1,-,-,-,-,1
一般取扱所,137,278,95,278,226,18,32,58,243
