消防団,団数,分団数,定員,現員,現員（女性）,分団施設,消防団用可搬ポンプ,可搬ポンプ等積載車,ホース（本）,防火服
平成28年度,58,439,"16,000","13,838","2,441",990,990,256,"19,800","16,000"
平成29年度,58,439,"16,000","13,642","2,502",990,990,271,"19,800","16,000"
平成30年度,58,439,"16,000","13,415","2,530",990,990,285,"19,800","16,000"
令和元年度,58,439,"16,000","13,563","2,734",990,990,300,"19,800","16,000"
令和2年度,58,439,16000,13786,2809,990,990,310,19800,16000
丸の内,1,2,100,107,17,2,2,2,40,100
麹町,1,3,120,109,15,3,3,3,60,120
神田,1,3,150,122,34,7,7,3,140,150
京橋,1,7,150,140,32,7,7,7,140,150
日本橋,1,7,150,149,15,7,7,3,140,150
臨港,1,4,100,77,15,4,4,2,80,100
芝,1,8,220,187,54,16,16,4,320,220
麻布,1,4,120,103,26,8,8,2,160,120
赤坂,1,3,130,117,19,6,6,2,120,130
高輪,1,4,110,102,31,9,9,3,180,110
品川,1,6,270,202,43,12,12,5,240,270
大井,1,4,200,171,41,9,9,4,180,200
荏原,1,7,230,230,50,15,15,5,300,230
大森,1,8,300,266,57,20,20,5,400,300
田園調布,1,9,300,247,57,18,18,7,360,300
蒲田,1,7,300,256,68,15,15,7,300,300
矢口,1,7,270,208,42,16,16,6,320,270
目黒,1,12,500,482,227,36,36,8,720,500
世田谷,1,18,700,634,140,50,50,12,1000,700
玉川,1,11,300,228,36,15,15,5,300,300
成城,1,7,250,264,46,20,20,4,400,250
渋谷,1,11,450,407,100,25,25,5,500,450
四谷,1,3,100,74,15,3,3,3,60,100
牛込,1,4,150,135,28,4,4,4,80,150
新宿,1,12,300,287,68,16,16,9,320,300
中野,1,8,250,187,42,16,16,7,320,250
野方,1,8,250,225,46,21,21,6,420,250
杉並,1,9,400,347,60,37,37,7,740,400
荻窪,1,7,350,242,57,16,16,5,320,350
小石川,1,6,200,179,37,8,8,3,160,200
本郷,1,6,200,188,41,7,7,3,140,200
豊島,1,7,220,228,30,9,9,3,180,220
池袋,1,6,230,211,61,12,12,3,240,230
王子,1,8,200,200,28,16,16,5,320,200
赤羽,1,7,200,186,51,18,18,3,360,200
滝野川,1,8,210,162,21,17,17,6,340,210
板橋,1,8,350,249,49,21,21,7,420,350
志村,1,10,350,323,45,27,27,10,540,350
練馬,1,8,280,257,41,17,17,4,340,280
光が丘,1,5,180,174,26,11,11,5,220,180
石神井,1,10,330,283,32,17,17,9,340,330
上野,1,8,280,256,50,16,16,6,320,280
浅草,1,4,130,114,22,5,5,3,100,130
日本堤,1,4,140,128,27,7,7,4,140,140
荒川,1,8,300,244,68,17,17,7,340,300
尾久,1,6,200,171,49,14,14,5,280,200
千住,1,8,380,321,50,17,17,8,340,380
足立,1,12,520,467,64,45,45,10,900,520
西新井,1,9,360,326,55,31,31,8,620,360
本所,1,8,300,251,36,16,16,5,320,300
向島,1,9,350,257,49,19,19,8,380,350
深川,1,10,290,269,46,20,20,6,400,290
城東,1,8,280,245,44,18,18,7,360,280
本田,1,16,700,480,95,51,51,11,1020,700
金町,1,11,500,394,80,23,23,6,460,500
江戸川,1,10,350,298,36,32,32,4,640,350
葛西,1,8,300,226,42,15,15,3,300,300
小岩,1,8,450,394,53,31,31,3,620,450
,,,,,,,,,,
注1．　現員欄中の（　）内は、女性消防団員数を内数で示しています。,,,,,,,,,,
