行政区,計,国立,公立・都立,公立・市町村立,"公的日本赤十字済生会・国保団体連合会等",私的・病院,私的・診療所,
平成28年,324,15,7,11,5,282,4,
平成29年,319,15,7,11,5,277,4,
平成30年,317,15,7,11,5,275,4,
令和元年,318,15,7,11,5,275,5, 
令和2年,316,15,7,11,5,273,5,
特別区,231,12,5,1,4,205,4,
千代田区,5,-,-,-,-,5,-,
中央区,2,-,-,-,-,1,1,
港区,8,1,-,-,1,6,-,
品川区,7,-,-,-,-,7,-,
大田区,14,2,-,-,1,11,-,
目黒区,9,1,-,-,-,8,-,
世田谷区,15,2,1,-,-,12,-,
渋谷区,6,-,1,-,1,4,-,
新宿区,12,3,-,-,-,9,-,
中野区,6,-,-,-,-,6,-,
杉並区,9,-,-,-,-,9,-,
文京区,7,2,1,-,-,4,-,
豊島区,13,-,1,-,-,11,1,
北区,10,-,-,-,-,10,-,
板橋区,23,-,-,-,-,23,-,
練馬区,8,-,-,-,-,7,1,
台東区,6,-,-,1,-,4,1,
荒川区,5,-,-,-,-,5,-,
足立区,27,-,-,-,-,27,-,
墨田区,8,-,1,-,1,6,-,
江東区,11,1,-,-,-,10,-,
葛飾区,9,-,-,-,-,9,-,
江戸川区,11,-,-,-,-,11,-,
受託地区,82,3,2,7,1,68,1,
立川市,5,1,-,-,-,4,-,
武蔵野市,5,-,-,-,1,4,-,
三鷹市,3,-,-,-,-,3,-,
府中市,6,-,2,-,-,4,-,
昭島市,5,-,-,-,-,5,-,
調布市,3,-,-,-,-,3,-,
小金井市,1,-,-,-,-,1,-,
小平市,3,-,-,1,-,2,-,
東村山市,4,-,-,-,-,4,-,
国分寺市,-,-,-,-,-,-,-,
国立市,1,-,-,-,-,1,-,
狛江市,1,-,-,-,-,1,-,
東大和市,1,-,-,-,-,1,-,
武蔵村山市,2,1,-,-,-,1,-,
清瀬市,4,1,-,-,-,3,-,
西東京市,5,-,-,-,-,5,-,
八王子市,12,-,-,-,-,12,-,
青梅市,2,-,-,1,-,1,-,
町田市,8,-,-,1,-,6,1,
日野市,2,-,-,1,-,1,-,
福生市,3,-,-,1,-,2,-,
多摩市,2,-,-,-,-,2,-,
あきる野市,1,-,-,1,-,-,-,
西多摩郡,1,-,-,1,-,-,-,
東久留米市,2,-,-,-,-,2,-,
稲城市,1,-,-,1,-,-,-,
八丈町,1,-,-,1,-,-,-,
大島町,1,-,-,1,-,-,-,
