区分,計,流出事故,流出事故・第一石油類,流出事故・アルコール類,流出事故・第二石油類,流出事故・第三石油類,流出事故・第四石油類,流出事故・動植物油類,流出事故・その他,破損事故等,死者,負傷者
平成28年,63,25,2,-,14,3,5,-,1,38,-,2
平成29年,86,20,4,-,9,5,1,-,1,66,-,6
平成30年,84,32,4,-,16,5,3,1,3,52,-,7
令和元年,94,23,5,-,9,8,1,-,-,71,-,9
令和2年,99,19,5,-,9,4,1,-,-,80,-,5
製造所,1,-,-,-,-,-,-,-,-,1,-,-
屋内貯蔵所,-,-,-,-,-,-,-,-,-,-,-,-
屋外タンク貯蔵所,3,2,1,-,-,1,-,-,-,1,-,-
屋内タンク貯蔵所,2,2,-,-,2,-,-,-,-,-,-,-
地下タンク貯蔵所,7,-,-,-,-,-,-,-,-,7,-,2
簡易タンク貯蔵所,-,-,-,-,-,-,-,-,-,-,-,-
移動タンク貯蔵所,2,2,-,-,2,-,-,-,-,-,-,1
屋外貯蔵所,-,-,-,-,-,-,-,-,-,-,-,-
給油取扱所,72,6,4,-,2,-,-,-,-,66,-,1
販売取扱所,-,-,-,-,-,-,-,-,-,-,-,-
移送取扱所,1,-,-,-,-,-,-,-,-,1,-,-
一般取扱所,6,2,-,-,-,1,1,-,-,4,-,-
仮貯蔵・仮取扱,-,-,-,-,-,-,-,-,-,-,-,-
無許可施設,-,-,-,-,-,-,-,-,-,-,-,-
運搬車両,4,4,-,-,2,2,-,-,-,-,-,1
少量危険物貯蔵取扱所,1,1,-,-,1,-,-,-,-,-,-,-
指定可燃物貯蔵取扱所,-,-,-,-,-,-,-,-,-,-,-,-
高圧ガス関係施設等,-,-,-,-,-,-,-,-,-,-,-,-
