火元建物の構造,火災件数・計,火災件数・焼損程度・全焼,火災件数・焼損程度・半焼,火災件数・焼損程度・部分焼,火災件数・焼損程度・ぼや,火災件数・出火階・地階,火災件数・出火階・１階,火災件数・出火階・２階,火災件数・出火階・３階,"火災件数・出火階・４階以上",焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成28年,"2,681",71,86,400,"2,124",151,"1,143",593,261,533,"2,986",93,98,494,"2,301","2,072",135,143,"1,794","16,652","3,787,755,715",75,763
平成29年,"2,730",83,75,442,"2,130",149,"1,140",616,270,555,"3,126",113,92,573,"2,348","2,406",206,216,"1,984","20,431","4,812,225,813",70,714
平成30年,"2,609",58,86,423,"2,042",135,"1,093",590,231,560,"2,883",74,101,511,"2,197","2,151",172,169,"1,810","18,158","5,853,910,274",80,754
令和元年,"2,811",73,81,434,"2,223",165,"1,135",626,260,625,"3,147",92,97,553,"2,405","2,289",203,168,"1,918","18,030","7,135,079,558",103,649
令和2年,"2,598",55,72,383,"2,088",137,"1,057",564,247,593,"2,911",63,84,486,"2,278","2,184",155,126,"1,903","15,802","5,430,062,736",80,658
木造建物,46,12,3,7,24,-,43,3,-,-,104,13,8,27,56,98,9,9,80,"1,350","170,752,968",11,8
防火構造建物,609,30,53,112,414,3,380,222,4,-,812,35,59,180,538,855,86,70,699,"6,904","1,325,489,640",49,242
耐火建物,"1,704",1,-,220,"1,483",134,485,269,225,591,"1,718",1,-,225,"1,492",1060,52,34,974,"4,955","3,343,148,563",15,338
準耐火建物イ,141,1,10,23,107,-,73,53,13,2,159,1,10,26,122,133,4,12,117,570,"315,557,832",3,48
準耐火建物ロ,34,-,2,8,24,-,19,12,3,-,37,-,2,9,26,26,1,-,25,254,"61,810,945",1,11
その他,64,11,4,13,36,-,57,5,2,-,81,13,5,19,44,12,3,1,8,1769,"213,302,788",1,11
