消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,,,,,,,,,,
令和2年度,322,-,-,-,2,-,1,-,6,6,24,16,2,-,-,-,2,-,-,-,1,-,-,-,-,-,8,1,1,-,-,14,1,8,-,-,-,2,56,159,12,-,-,-,-,-,-,-,-,-,-,-,-
特別区,263,-,-,-,1,-,1,-,5,1,24,14,2,-,-,-,2,-,-,-,1,-,-,-,-,-,8,-,-,-,-,14,1,2,-,-,-,2,53,120,12,-,-,-,-,-,-,-,-,-,-,-,-
丸の内,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
麹町,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-
神田,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
京橋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
日本橋,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
臨港,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
芝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
麻布,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
