"応援を受けた消防本部",応援救急隊,出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,"出場件数・不搬送・現場処置",出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,"救護人員・現場処置",搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
平成28年,合計,78,57,21,-,21,76,76,-,-,1,5,7,63
平成29年,合計,69,45,24,2,24,59,56,3,-,-,1,15,40
平成30年,合計,62,44,16,-,16,46,45,1,-,2,5,12,27
令和元年,合計,77,47,29,-,29,59,57,2,-,3,2,18,37
令和2年,合計,50,30,20,-,20,38,36,2,-,2,1,12,21
相模原市,八王子第１Ａ,3,3,-,-,-,3,3,-,-,-,1,1,1
相模原市,浅川Ａ,4,2,2,-,2,2,2,-,-,-,-,1,1
川崎市,市野倉Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
川崎市,碑文谷Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
川崎市,蒲田Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
川崎市,羽田Ａ,1,1,-,-,-,2,2,-,-,-,-,-,2
川崎市,松原第２Ａ,1,1,-,-,-,1,1,-,-,-,-,1,-
川崎市,成城Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
川崎市,田園調布Ａ,1,1,-,-,-,1,1,-,-,1,-,-,-
川崎市,鶴川Ａ,1,1,-,-,-,3,3,-,-,-,-,3,-
川崎市,用賀Ａ,3,2,1,-,1,2,2,-,-,-,-,-,2
川崎市,玉川新町Ａ,2,2,-,-,-,4,4,-,-,-,-,1,3
横浜市,,-,-,-,-,-,-,-,-,-,-,-,-,-
大和市,,-,-,-,-,-,-,-,-,-,-,-,-,-
市川市,小岩Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
松戸市,金町Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
浦安市,東砂Ａ,1,1,-,-,-,1,1,-,-,-,-,1,-
浦安市,南葛西Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
稲城市,,-,-,-,-,-,-,-,-,-,-,-,-,-
三郷市,,-,-,-,-,-,-,-,-,-,-,-,-,-
草加八潮,大師前Ａ,1,1,-,-,-,1,1,-,-,-,-,1,-
川口市,西新井Ａ,2,2,-,-,-,2,2,-,-,-,-,1,1
川口市,尾久Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
川口市,淵江Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
川口市,舎人Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
埼玉西部,青梅Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
埼玉西部,石神井Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
埼玉西部,瑞穂Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
戸田市,西が丘Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
戸田市,板橋Ａ,2,1,1,-,1,2,1,1,-,-,-,-,1
戸田市,常盤台Ａ,2,2,-,-,-,2,2,-,-,1,-,-,1
戸田市,蓮根Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
戸田市,志村坂上Ａ,3,2,1,-,1,4,3,1,-,-,-,1,2
秩父,,-,-,-,-,-,-,-,-,-,-,-,-,-
埼玉県南西部,練馬Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
埼玉県南西部,関町Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
埼玉県南西部,大泉Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
埼玉県南西部,大泉学園Ａ,3,1,2,-,2,1,1,-,-,-,-,1,-
埼玉県南西部,清瀬Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
埼玉県南西部,東久留米Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
上野原市,,-,-,-,-,-,-,-,-,-,-,-,-,-
東山梨,,-,-,-,-,-,-,-,-,-,-,-,-,-
大月市,,-,-,-,-,-,-,-,-,-,-,-,-,-
都留市,,-,-,-,-,-,-,-,-,-,-,-,-,-
富士五湖,,-,-,-,-,-,-,-,-,-,-,-,-,-
