地域,有人直接通報承認対象物数,無人直接通報承認対象物数,即時通報承認対象物数,緊急即時通報承認対象物数,事業所火災直接通報対象物数,救急直接通報登録世帯
平成28年,"1,036",122,"2,082","24,375",-,1803
平成29年,"1,100",132,"2,081","25,093",-,1584
平成30年,"1,133",141,"2,101","25,620",-,1364
令和元年,"1,149",143,"2,103","27,439",-,1162
令和2年,1111,142,"2,103","28,215","1,267",1085
特別区,733,92,1232,22953,820,808
千代田区,14,2,47,451,15,15
中央区,14,6,69,292,19,38
港区,23,5,43,1801,28,1
品川区,22,10,30,1324,33,6
大田区,68,9,70,615,76,64
目黒区,15,1,20,766,16,12
世田谷区,54,15,119,764,69,92
渋谷区,12,4,10,1144,16,-
新宿区,19,2,25,652,23,12
中野区,30,-,13,686,29,-
杉並区,50,-,23,1564,50,11
文京区,12,4,30,146,16,13
豊島区,18,3,18,303,21,165
北区,29,1,23,1196,30,-
板橋区,44,6,57,971,49,-
練馬区,50,4,27,1449,52,1
台東区,22,-,93,529,23,23
荒川区,22,1,14,"1,157",23,1
足立区,69,3,90,"1,324",68,20
墨田区,34,4,35,1640,37,-
江東区,20,5,87,438,26,333
葛飾区,38,3,123,875,42,-
江戸川区,54,4,166,"2,866",59,1
受託地区,378,50,871,5262,447,277
立川市,33,1,29,332,34,22
国立市,15,-,8,613,15,7
武蔵野市,14,2,19,180,16,-
三鷹市,23,4,10,234,27,12
府中市,11,-,97,627,25,8
昭島市,12,3,20,92,16,12
調布市,11,2,85,851,13,-
小金井市,10,-,6,111,10,1
小平市,18,-,63,138,18,2
東村山市,7,-,23,146,7,9
国分寺市,15,-,23,32,16,5
狛江市,1,1,14,196,2,-
東大和市,3,-,23,298,3,2
武蔵村山市,4,-,16,86,4,12
清瀬市,13,-,24,72,11,24
東久留米市,11,1,9,-,12,12
西東京市,13,3,42,239,18,-
八王子市,58,6,84,231,63,-
青梅市,15,1,89,33,17,9
町田市,32,9,11,451,43,1
日野市,22,1,24,56,23,5
福生市,2,-,22,7,2,8
羽村市,5,1,33,11,6,23
瑞穂町,2,2,30,2,4,9
多摩市,9,-,20,92,9,-
あきる野市,10,8,41,132,18,2
日の出町,3,5,6,-,9,11
檜原村,-,-,-,-,-,-
奥多摩町,6,-,-,-,6,81
