用途,"防火管理者を選任し届出しなければならない防火対象物（令和2年12月末）","防火管理者を選任し届出している防火対象物（令和2年12月末）","防火管理者の選任届・解任届受理状況（令和2年中）・選任","防火管理者の選任届・解任届受理状況（令和2年中）・解任","統括防火管理者を選任し届出しなければならない防火対象物（令和2年12月末）","統括防火管理者を選任し届出している防火対象物（令和2年12月末）"
計,"110,063","103,926","55,889","44,908","43,686","30,134"
（一）・イ・劇場、映画館、演芸場又は観覧場,96,95,37,28,10,9
（一）・ロ・公会堂又は集会場,38,38,13,12,4,4
（二）・イ・キャバレー、カフェー、ナイトクラブその他これらに類するもの,33,26,8,1,17,8
（二）・ロ・遊技場又はダンスホール,416,403,150,159,24,19
（二）・ハ・その他の性風俗店舗,6,6,-,-,1,1
（二）・ニ・カラオケボックス等,171,171,94,93,7,2
"（三）・イ・待合、料理店その他これらに類するもの",49,44,4,2,1,-
（三）・ロ・飲　　　食　　　店,"4,034","3,758","1,750","1,553",685,440
（四）・百貨店、マーケットその他の物品販売業を営む店舗又は展示場,"3,871","3,612","1,790","1,560",176,131
（五）・イ・旅館、ホテル又は宿泊所,"1,552","1,499",551,422,91,81
（五）・ロ・寄宿舎、下宿又は共同住宅,"31,030","29,065","6,430","5,714",651,287
（六）・イ・（１）病院,200,197,44,38,3,2
（六）・イ・（２）有床診療所,121,119,11,9,6,2
（六）・イ・（３）病院（（六）項イ?を除く。）、有床診療所（（六）項イ?を除く。）又は有床助産所,406,406,75,71,11,11
（六）・イ・（４）無床診療所又は無床助産所,286,270,51,34,38,31
（六）・ロ・（１）老人短期入所施設、特別養護老人ホーム等,1801,1782,609,511,34,30
（六）・ロ・（２）救護施設,7,7,-,-,-,-
（六）・ロ・（３）乳児院,3,3,1,1,1,1
（六）・ロ・（４）障害児入所施設,15,15,3,2,-,-
（六）・ロ・（５）障害者支援施設等,123,116,58,45,-,-
（六）・ハ・（１）老人デイサービスセンター等,282,277,113,101,14,12
（六）・ハ・（２）更生施設,14,14,2,2,-,-
（六）・ハ・（３）助産施設、保育所等,1965,1948,724,491,19,15
（六）・ハ・（４）児童発達支援センター、情緒障害児短期治療施設等,42,41,13,10,2,1
（六）・ハ・（５）身体障害者福祉センター、障害者支援施設等,334,330,129,108,10,10
（六）・ニ・幼稚園又は特別支援学校,768,759,80,73,2,2
"（七）・小学校、中学校、高等学校、中等教育学校､高等専門学校､大学､専修学校､各種学校その他これらに類するもの",3300,3235,946,869,11,5
（八）・図書館、博物館、美術館その他これらに類するもの,265,265,93,88,1,-
"（九）・イ・公衆浴場のうち、蒸気浴場、熱気浴場その他これらに類するもの",154,152,36,35,11,10
（九）・ロ・イに掲げる公衆浴場以外の公衆浴場,305,303,5,5,1,1
（十）・車両の停車場又は船舶若しくは航空機の発着場,64,63,117,102,2,2
"(十一)・神社、寺院、教会その他これらに類するもの",1613,1569,72,55,3,1
(十二)・イ・工場又は作業場,837,804,137,126,3,2
(十二)・ロ・映画スタジオ又はテレビスタジオ,10,9,2,2,1,-
(十三)・イ・自動車車庫又は駐車場,212,199,33,31,16,11
(十三)・ロ・飛行機又は回転翼航空機の格納庫,1,1,-,-,-,-
(十四)倉庫,585,550,296,255,15,13
(十五)・①官公署,943,925,489,472,8,5
(十五)・②事務所,"7,966","7,557","5,154","3,807",569,324
(十五)・③その他の事業場,4126,3904,1425,1306,99,50
(十六)・イ特定用途を含む複合用途,34225,32057,31118,24252,25199,17259
(十六)・ロその他の複合用途,7733,7271,3048,2300,3469,1834
(十六の二)地下街,10,10,165,156,8,8
(十六の三)準地下街,-,-,4,1,2,2
(十七)文化財建造物,51,51,9,6,-,-
高層建築物,-,-,-,-,12461,9508
