政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成28年,990,6,18,145,821,"1,036",8,20,159,849,488,35,37,416,824,"4,173","933,629,761",9,228
平成29年,"1,035",14,14,164,843,"1,117",18,18,189,892,579,42,64,473,994,"6,148","1,607,909,740",18,226
平成30年,988,5,23,155,805,"1,062",5,28,182,847,552,53,62,437,981,"4,476","915,426,048",23,206
令和元年,"1,151",2,26,173,950,"1,204",3,26,192,983,616,70,61,485,946,"3,682","1,104,228,700",33,211
令和2年,"1,002",6,11,145,840,"1,044",6,12,157,869,500,34,25,441,824,"2,458","1,058,451,144",16,189
政令用途からの出火,795,5,9,117,664,830,5,10,128,687,409,27,18,364,672,"2,124","993,843,379",11,154
一項・イ・映画館,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,700,-,-
一項・イ・観覧場,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,500,-,-
二項・イ・カフェー,2,-,-,1,1,2,-,-,1,1,-,-,-,-,-,3,"709,500",-,-
二項・イ・ナイトクラブ,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,400,-,-
二項・ロ・遊技場,5,-,-,1,4,6,-,-,1,5,-,-,-,-,-,-,"113,000",-,-
二項・ニ・カラオケボックス等,4,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,"1,064,380",-,-
三項・ロ・飲食店,217,-,4,29,184,222,-,4,32,186,19,-,1,18,37,415,"132,544,023",1,41
四項・百貨店,5,-,-,-,5,5,-,-,-,5,-,-,-,-,-,-,"1,590",-,-
四項・マーケット,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"213,200",-,-
四項・物品販売店舗,89,2,-,5,82,96,2,1,8,85,11,2,1,8,23,384,"54,684,132",2,11
四項・展示場,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,300,-,-
五項・イ・ホテル,8,-,-,-,8,8,-,-,-,8,-,-,-,-,-,-,"18,045",-,1
五項・イ・宿泊所,3,-,-,2,1,3,-,-,2,1,1,-,-,1,1,-,"365,660",-,-
五項・ロ・寄宿舎,1,-,-,-,1,1,-,-,-,1,1,-,-,1,1,-,"6,000",-,-
五項・ロ・共同住宅,246,1,2,56,187,261,1,2,59,199,349,22,15,312,559,712,"160,490,822",6,78
六項・イ・(2)・特定診療所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"113,000",-,-
六項・イ・(3)・病院（特定病院以外）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"80,000",-,-
六項・イ・(4)・診療所（患者入院施設を有しないもの）,8,-,-,1,7,8,-,-,1,7,1,-,-,1,1,1,"2,707,900",-,1
六項・ロ・(1)・特別養護老人ホーム,3,-,-,-,3,3,-,-,-,3,1,-,-,1,1,-,37750,-,-
六項・ロ・(1)・有料老人ホーム（要介護者入居）,1,-,-,-,1,1,-,-,-,1,1,-,-,1,1,-,100,-,-
六項・ロ・(4)・障害児入所施設,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,20,-,-
六項・ロ・(5)・障害者支援施設（避難困難者入所）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-
六項・ハ・(3)・保育所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"6,400",-,-
六項・ハ・(5)・共同生活援助施設（避難困難者入所以外）,1,-,-,1,-,1,-,-,1,-,1,-,-,1,1,-,"805,000",-,-
七項・小学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"8,000",-,-
十項・停車場,9,-,-,-,9,9,-,-,-,9,-,-,-,-,-,-,26800,-,-
十二項・イ・工場,3,-,-,2,1,3,-,-,2,1,-,-,-,-,-,-,"15,260,307",-,-
十二項・イ・作業場,21,2,1,2,16,26,2,1,3,20,12,3,-,9,23,323,"28,377,391",1,8
十三項・イ・車庫,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,"138,200",-,-
十三項・イ・駐車場,3,-,-,1,2,3,-,-,1,2,-,-,-,-,-,-,"527,942,679",-,1
十四項・倉庫,9,-,-,4,5,10,-,-,4,6,2,-,1,1,3,76,"9,363,250",-,1
十五項・変電所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"6,000",-,1
十五項・官公署,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,"5,800",-,-
十五項・事務所,87,-,1,9,77,88,-,1,10,77,7,-,-,7,13,145,"42,768,752",1,9
十五項・その他の事業所,52,-,1,3,48,52,-,1,3,48,3,-,-,3,8,65,"15,982,978",-,2
十六の二項・地下街（指定地下街）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-
政令用途以外から出火,207,1,2,28,176,214,1,2,29,182,91,7,7,77,152,334,"64,607,765",5,35
複合用途建物の住宅部分,72,1,2,21,48,79,1,2,22,54,85,7,7,71,141,311,47472210,5,29
使用中建物の空室部分,6,-,-,2,4,6,-,-,2,4,-,-,-,-,-,10,2050200,-,1
使用中建物の工事部分,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,1700,-,1
複合用途建物の共用部分,127,-,-,5,122,127,-,-,5,122,6,-,-,6,11,13,15083655,-,4
