着火物,計,出火に至った時間・0分以上～15分未満,出火に至った時間・15分以上～30分未満,出火に至った時間・30分以上～45分未満,出火に至った時間・45分以上～1時間未満,出火に至った時間・1時間以上～2時間未満,出火に至った時間・2時間以上～3時間未満,出火に至った時間・3時間以上～4時間未満,出火に至った時間・4時間以上～5時間未満,出火に至った時間・5時間以上～6時間未満,出火に至った時間・6時間以上～7時間未満,出火に至った時間・7時間以上～8時間未満,出火に至った時間・8時間以上～9時間未満,出火に至った時間・9時間以上～10時間未満,"出火に至った時間・10時間以上",出火に至った時間・不明
平成28年,335,34,35,38,11,44,20,13,6,4,6,1,1,1,2,119
平成29年,328,43,28,31,15,54,25,15,6,3,3,2,1,2,-,100
平成30年,344,63,34,33,18,33,22,14,13,4,1,-,-,2,4,103
令和元年,338,78,32,38,7,43,26,11,7,1,2,1,-,1,3,88
令和2年,267,59,22,24,11,29,15,7,4,2,-,2,1,-,1,90
ごみくず,135,33,15,12,5,20,8,3,1,1,-,-,-,-,1,36
布団等,55,9,3,5,3,5,2,3,2,-,-,2,1,-,-,20
衣類,9,1,-,1,-,1,-,1,-,1,-,-,-,-,-,4
その他の紙・紙製品,8,3,1,1,-,-,-,-,-,-,-,-,-,-,-,3
繊維製品・しゅろほうき,7,1,-,1,1,-,1,-,-,-,-,-,-,-,-,3
紙くず,6,-,-,1,-,1,-,-,-,-,-,-,-,-,-,4
新聞紙・ちらし,6,2,1,-,-,-,-,-,1,-,-,-,-,-,-,2
段ボール・ボール紙,6,1,2,-,-,1,1,-,-,-,-,-,-,-,-,1
その他,35,9,-,3,2,1,3,-,-,-,-,-,-,-,-,17
