区分,計,交通事故,火災,運動競技,自然災害,水難事故,労働災害,一般負傷,自損行為,加害事故,急病
平成28年,"17,648",925,7,382,2,145,178,"4,434",215,39,"11,321"
平成29年,"18,459",932,6,359,-,142,202,"4,694",191,43,"11,890"
平成30年,"20,075",957,8,393,1,129,203,"5,115",205,40,"13,024"
令和元年,"22,494",1041,12,363,-,168,205,"5,789",222,38,"14,656"
令和2年,"21,083",896,12,183,2,123,185,"5,502",252,44,"13,884"
実施者別・医療従事者,"5,413",103,1,26,1,4,17,797,9,4,4451
実施者別・家族,"5,149",37,5,10,-,68,13,1337,145,8,"3,526"
実施者別・第三者（通行人等）,"2,901",524,2,6,1,22,10,1414,16,5,901
実施者別・福祉関係者,2817,4,-,-,-,9,2,521,11,-,2270
実施者別・集客施設等関係者,1607,19,-,28,-,9,6,588,15,3,939
実施者別・職場・学校関係者,1139,14,1,60,-,1,123,272,11,2,655
実施者別・友人・近隣者,880,28,2,41,-,3,2,321,16,6,461
実施者別・消防職員・消防団員,127,27,-,-,-,-,2,41,-,2,55
実施者別・警察官,423,69,1,-,-,3,2,104,19,12,213
実施者別・その他公的機関,67,5,-,1,-,1,2,13,7,-,38
実施者別・その他,560,66,-,11,-,3,6,94,3,2,375
都民処置・胸骨圧迫（心マッサージ）,"4,601",41,-,10,-,84,8,407,133,4,"3,914"
都民処置・止血・創傷処置,2540,304,1,24,2,-,86,1947,44,18,114
都民処置・観察・バイタルサイン測定等,5228,86,1,27,-,-,11,579,10,4,4510
都民処置・保温・冷却,"1,115",48,8,73,-,4,31,517,1,1,432
都民処置・体位管理,4749,241,1,21,-,11,41,1395,12,16,3011
都民処置・移動（危険回避）,850,115,2,5,-,39,5,298,48,1,337
都民処置・人工呼吸,433,4,-,-,-,13,-,42,17,-,357
都民処置・病院医・往診医その他医療処置,1364,9,-,7,-,-,3,139,4,-,1202
都民処置・ＡＥＤ装着、心電図測定,1112,18,-,4,-,11,5,94,15,1,964
都民処置・在宅療法・既往における処置対応,653,-,-,-,-,-,-,52,-,-,601
都民処置・固定処置,150,20,-,42,-,-,7,75,-,-,6
都民処置・気道確保,222,11,-,-,-,2,1,12,3,-,193
都民処置・異物除去,423,-,-,-,-,-,-,319,-,-,104
都民処置・除細動,213,3,-,-,-,2,1,2,-,-,205
都民処置・その他,1306,114,1,6,-,4,13,399,10,2,757
