"応援を受けた消防署",応援消防本部,件数・計,件数・普通応援,件数・特別応援,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,"従事・放水時間（分）
",出場人員・計,出場人員・従事,出場人員・不従事
平成28年,合計,418,418,-,649,446,107,58,38,124,272,7,52,187,"2,400",998,1402
平成29年,合計,388,387,1,626,426,104,38,58,151,296,1,14,33,"2,327",1118,"1,209"
平成30年,合計,414,409,5,676,481,75,64,56,85,204,5,15,75,"2,538",749,"1,789"
令和元年,合計,491,487,4,883,573,163,75,72,130,327,108,107,464,"2,727",1459,"1,916"
令和2年,合計,363,354,9,622,426,65,72,59,137,314,8,48,260,"2,337","1,106",1231
田園調布,川崎市,12,12,-,16,16,-,-,-,-,-,-,-,-,69,-,69
蒲田,川崎市,15,15,-,16,16,-,-,-,15,16,-,-,-,64,64,-
矢口,川崎市,25,25,-,27,27,-,-,-,1,21,-,-,-,113,4,109
玉川,川崎市,13,13,-,17,14,1,1,1,4,4,-,-,-,69,17,52
成城,川崎市,3,3,-,17,3,5,3,6,3,17,-,-,-,58,58,-
赤羽,川口市,9,9,-,19,11,2,5,1,8,9,-,-,-,69,35,34
志村,戸田市,15,15,-,39,19,4,12,4,-,-,-,-,-,104,-,104
志村,埼玉県南西部,6,6,-,6,6,-,-,-,-,-,-,-,-,25,-,25
光が丘,埼玉県南西部,3,3,-,3,3,-,-,-,-,-,-,-,-,13,-,13
石神井,埼玉県南西部,24,24,-,44,26,11,4,3,10,29,4,9,73,174,112,62
足立,草加八潮,30,30,-,30,30,-,-,-,-,-,-,-,-,117,-,117
西新井,草加八潮,3,3,-,3,3,-,-,-,-,-,-,-,-,12,-,12
西新井,川口市,17,17,-,23,17,1,4,1,15,20,1,5,67,87,75,12
金町,三郷市,6,6,-,6,6,-,-,-,-,-,-,-,-,19,-,19
金町,松戸市,11,11,-,26,15,2,6,3,1,-,-,-,-,90,3,87
金町,草加八潮,2,2,-,2,2,-,-,-,-,-,-,-,-,6,-,6
江戸川,市川市,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
葛西,浦安市,14,9,5,35,17,6,8,4,2,8,-,-,-,122,27,95
小岩,市川市,13,13,-,13,13,-,-,-,1,-,-,-,-,52,4,48
府中,稲城市,8,6,2,16,9,2,2,3,-,-,-,-,-,52,-,52
調布,稲城市,11,9,2,17,13,1,1,2,1,6,-,-,-,58,20,38
東村山,埼玉西部,6,6,-,6,6,-,-,-,-,-,-,-,-,23,-,23
狛江,川崎市,12,12,-,13,13,-,-,-,12,13,-,-,-,52,52,-
清瀬,埼玉県南西部,9,9,-,12,9,3,-,-,1,4,-,-,-,50,14,36
清瀬,埼玉西部,5,5,-,16,8,2,-,6,1,3,-,-,-,57,14,43
西東京,埼玉県南西部,6,6,-,6,6,-,-,-,-,-,-,-,-,25,-,25
東久留米,埼玉県南西部,3,3,-,3,3,-,-,-,-,-,-,-,-,12,-,12
八王子,相模原市,10,10,-,51,18,11,8,14,10,51,-,-,-,181,181,-
青梅,埼玉西部,4,4,-,4,4,-,-,-,-,-,-,-,-,17,-,17
町田,川崎市,2,2,-,10,7,1,1,1,2,10,-,-,-,40,40,-
町田,横浜市,26,26,-,61,32,10,14,5,20,59,3,34,120,241,211,30
町田,相模原市,28,28,-,52,41,3,3,5,28,41,-,-,-,220,163,57
町田,大和市,7,7,-,7,7,-,-,-,-,-,-,-,-,25,-,25
多摩,稲城市,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
多摩,川崎市,2,2,-,3,3,-,-,-,2,3,-,-,-,12,12,-
奥多摩,大月市,1,1,-,1,1,-,-,-,-,-,-,-,-,1,-,1
