"応援を行った消防本部",応援救急隊名,出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
平成28年,合計,129,90,40,9,31,106,95,12,-,1,8,17,69
平成29年,合計,131,89,42,13,29,132,120,12,1,-,3,21,95
平成30年,合計,158,111,48,8,40,140,132,8,-,-,3,27,103
令和元年,合計,164,116,49,11,38,141,135,8,3,-,3,26,103
令和2年,合計,95,58,37,5,32,70,67,3,3,-,7,15,42
相模原市,淵野辺Ａ,1,1,-,-,-,1,1,-,-,-,1,-,-
相模原市,上鶴間Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
相模原市,北本署Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
相模原市,相原Ａ,2,-,2,-,2,-,-,-,-,-,-,-,-
相模原市,城山Ａ,3,-,3,-,3,-,-,-,-,-,-,-,-
相模原市,津久井本署Ａ,2,2,-,-,-,2,2,-,-,-,-,-,2
相模原市,藤野Ａ,4,3,1,-,1,3,3,-,-,-,1,1,1
川崎市,臨港Ａ,7,6,1,-,1,6,6,-,-,-,1,-,5
川崎市,殿町Ａ,10,6,4,1,3,6,6,-,-,-,2,3,1
川崎市,藤崎Ａ,2,1,1,-,1,1,1,-,1,-,-,-,-
川崎市,川崎Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
川崎市,南河原Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
川崎市,高津Ａ,2,-,2,-,2,-,-,-,-,-,-,-,-
川崎市,新作Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
川崎市,宮前Ａ,2,2,-,-,-,3,3,-,-,-,-,1,2
川崎市,宮?Ａ,3,3,-,-,-,4,4,-,,-,-,1,3
川崎市,向丘Ａ,1,1,-,-,-,2,2,-,-,-,-,-,2
川崎市,菅生Ａ,4,2,2,1,1,4,3,1,-,-,-,1,2
横浜市,若葉台Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
横浜市,都岡Ａ,4,3,1,-,1,3,3,-,-,-,-,1,2
横浜市,鴨志田Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
横浜市,若葉台Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
横浜市,中瀬谷Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
大和市,,-,-,-,-,-,-,-,-,-,-,-,-,-
市川市,東救急１,1,-,1,1,-,1,-,1,-,-,-,-,-
市川市,東救急２,2,2,-,-,-,2,2,-,-,-,-,-,2
市川市,西救急１,3,1,2,-,2,1,1,-,1,-,-,-,-
市川市,国府台救急１,1,1,-,-,-,1,1,-,-,-,-,-,1
市川市,南救急１,1,-,1,-,1,-,-,-,-,-,-,-,-
市川市,曽谷救急１,1,-,1,-,1,-,-,-,-,-,-,-,-
松戸市,西口Ａ,1,-,1,-,1,-,-,-,-,-,-,-,-
浦安市,今川救急Ａ,3,1,2,-,2,1,1,-,-,-,-,-,1
浦安市,浦安堀江救急Ａ,3,1,2,-,2,1,1,-,-,-,-,1,-
稲城市,稲城Ａ,2,-,2,-,2,-,-,-,-,-,-,-,-
三郷市,,-,-,-,-,-,-,-,-,-,-,-,-,-
草加八潮,,-,-,-,-,-,-,-,-,-,-,-,-,-
川口市,,-,-,-,-,-,-,-,-,-,-,-,-,-
戸田市,本署Ａ,1,1,-,-,-,1,1,-,-,-,-,1,-
戸田市,西部Ａ,2,1,1,-,1,1,1,-,-,-,-,-,1
秩父,,-,-,-,-,-,-,-,-,-,-,-,-,-
埼玉西部,救急所沢中央１,1,1,-,-,-,1,1,-,-,-,-,1,-
埼玉西部,救急所沢１,1,-,1,1,-,-,-,-,-,-,-,-,-
埼玉西部,救急所沢２,1,1,-,-,-,1,1,-,1,-,-,-,-
埼玉西部,救急入間２,1,1,-,-,-,1,1,-,-,-,-,-,1
埼玉県南西部,浜崎１Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
埼玉県南西部,志木１Ａ,1,1,-,-,-,1,1,-,-,-,-,-,1
埼玉県南西部,志木２Ａ,1,1,-,-,-,2,2,-,-,-,-,-,2
埼玉県南西部,和光Ａ,4,4,-,-,-,5,5,-,-,-,1,2,2
埼玉県南西部,白子Ａ,1,1,-,-,-,2,2,-,-,-,-,-,2
埼玉県南西部,新座Ａ,2,2,-,-,-,4,4,-,-,-,-,-,4
埼玉県南西部,大和田Ａ,4,3,1,1,-,4,3,1,-,-,1,2,-
上野原市,,-,-,-,-,-,-,-,-,-,-,-,-,-
東山梨,,-,-,-,-,-,-,-,-,-,-,-,-,-
大月市,,-,-,-,-,-,-,-,-,-,-,-,-,-
都留市,,-,-,-,-,-,-,-,-,-,-,-,-,-
富士五湖,,-,-,-,-,-,-,-,-,-,-,-,-,-
