類別,計,製造所,貯蔵所・小計,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・小計,取扱所・給油,取扱所・第１種販売,取扱所・第２種販売,取扱所・移送,取扱所・一般
平成27年度,"12,741",78,"8,029","1,789",384,"1,133","2,910",8,"1,633",172,"4,634","1,790",245,93,13,"2,493"
平成27年度（島しょ）,-436,-,-307,-23,-104,-17,-59,-1,-58,-45,-129,-64,-,-,-11,-54
平成28年度,"12,631",75,"7,953","1,762",371,"1,147","2,911",8,"1,585",169,"4,603","1,751",231,94,13,"2,514"
平成28年度（島しょ）,-432,-,-302,-23,-105,-17,-56,-1,-55,-45,-130,-65,-,-,-11,-54
平成29年度,"12,626",70,"7,941","1,748",366,"1,168","2,928",8,"1,552",171,"4,615","1,715",225,92,13,"2,570"
平成29年度（島しょ）,-441,-,-313,-23,-104,-16,-57,-1,-56,-56,-128,-65,-,-,-11,-52
平成30年度,"12,599",68,"7,914","1,724",352,"1,165","2,958",7,"1,546",162,"4,617","1,690",216,91,12,"2,608"
平成30年度（島しょ）,-436,-,-309,-23,-104,-17,-55,-1,-57,-52,-127,-64,-,-,-11,-52
令和元年度,"12,516",65,"7,819","1,695",345,"1,146","2,971",7,"1,497",158,"4,632","1,661",207,89,11,"2,664"
令和元年度（島しょ）,-432,-,-303,-20,-104,-17,-55,-1,-55,-51,-129,-64,-,-,-10,-55
第一類,16,-,12,10,-,-,2,-,-,-,4,-,3,-,-,1
第一類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二類,10,-,10,9,-,-,-,-,1,-,-,-,-,-,-,-
第二類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三類,4,1,3,1,-,-,-,-,2,-,-,-,-,-,-,-
第三類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第四類,"12,223",50,"7,626","1,573",343,"1,146","2,969",7,"1,430",158,"4,547","1,661",191,79,11,"2,605"
第四類（島しょ）,-432,-,-303,-20,-104,-17,-55,-1,-55,-51,-129,-64,-,-,-10,-55
第五類,5,1,3,2,1,-,-,-,-,-,1,-,-,-,-,1
第五類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第六類,3,-,2,-,1,-,-,-,1,-,1,-,-,-,-,1
第六類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
混在,255,13,163,100,-,-,-,-,63,-,79,-,13,10,-,56
混在（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
