月別,受付件数・計,受付件数・医療機関案内,受付件数・救急相談,受付件数・相談前救急要請,受付件数・かけ直し依頼,受付件数・その他
平成28年,"378,776",225879,152145,535,215,2
平成29年,"369,018",195707,172551,613,146,1
平成30年,"398,877",196012,201943,666,254,2
令和元年,"417,013",184425,231686,717,185,-
令和2年,"362,454",140261,221379,664,150,-
1月,"37,460",17376,19995,76,13,-
2月,"31,394",12866,18453,64,11,-
3月,"28,654",10278,18301,63,12,-
4月,"27,093",9185,17827,57,24,-
5月,"29,784",11676,18027,57,24,-
6月,"25,108",8511,16530,57,10,-
7月,"30,532",11879,18600,45,8,-
8月,"34,952",14000,20884,58,10,-
9月,"30,178",11939,18187,44,8,-
10月,"28,421",10336,18030,45,10,-
11月,"29,419",11244,18117,46,12,-
12月,"29,459",10971,18428,52,8,-
