消防署, 損害額（ 円 ）・計, 損害額（ 円 ）・建物, 損害額（ 円 ）・建物内収容物, 損害額（ 円 ）・林野, 損害額（ 円 ）・車両, 損害額（ 円 ）・船舶, 損害額（ 円 ）・航空機, 損害額（ 円 ）・その他,死者,負傷者・計,負傷者・重症,負傷者・中等症,負傷者・軽症
平成28年,"4,924,408,207","2,024,448,886","1,825,250,044",-,"129,825,013","653,200",920000000,"24,231,064",83,853,120,191,542
平成29年,"5,147,049,552","3,204,615,449","1,632,891,164",-,"109,313,166",-,-,"200,229,773",79,758,108,200,450
平成30年,"6,070,982,850","3,250,076,923","2,580,012,203","9,150,000","92,726,732","27,514,925",-,"111,502,067",86,798,135,197,466
令和元年,"7,688,941,420","3,450,624,842","4,060,255,809","1,937,750","85,305,686","13,146,600",-,"77,670,733",108,705,112,168,425
令和2年,"5,601,522,177","4,108,272,502","1,384,563,019",198900,"93,445,691",-,-,"15,042,065",86,710,85,190,435
特別区,"4,517,868,644","3,491,130,988","960,906,182",-,"53,473,913",-,-,"12,357,561",58,549,63,153,333
丸の内,"432,260","2,800","314,060",-,"39,000",-,-,76400,-,-,-,-,-
麹町,"7,077,690","6,010,180","347,600",-,"600,000",-,-,"119,910",-,2,1,-,1
神田,"2,953,960","134,000","2,786,300",-,-,-,-,"33,660",-,2,-,1,1
京橋,"15,602,662","646,066","13,743,796",-,"1,144,000",-,-,"68,800",-,9,-,-,9
日本橋,"11,791,456","4,968,344","6,668,112",-,18900,-,-,"136,100",-,6,1,-,5
臨港,"1,845,753","1,782,202","63,496",-,-,-,-,55,-,2,1,1,-
芝,"1,872,957,100","1,672,969,800","199,273,400",-,"520,000",-,-,"193,900",-,6,1,-,5
麻布,"46,532,550","36,490,830","9,683,920",-,600,-,-,"357,200",1,8,-,2,6
赤坂,"533,826,100","503,254,800","30,509,300",-,-,-,-,"62,000",-,7,-,2,5
高輪,"629,230","105,917","412,432",-,110220,-,-,661,-,4,-,-,4
品川,"9,944,800","4,890,800","5,025,800",-,-,-,-,"28,200",1,10,-,4,6
大井,"3,893,827","2,705,088","354,084",-,"792,855",-,-,"41,800",-,6,1,1,4
荏原,"36,177,051","32,978,292","2,576,259",-,"413,300",-,-,209200,2,20,3,3,14
大森,"44,932,375","32,400,058","12,467,037",-,"6,000",-,-,"59,280",2,12,1,3,8
田園調布,"52,328,459","37,243,806","15,083,403",-,-,-,-,"1,250",2,8,1,4,3
蒲田,"12,758,335","3,029,802","8,509,277",-,"1,216,836",-,-,"2,420",1,3,-,1,2
矢口,"11,871,800","4,536,400","5,054,300",-,"2,050,000",-,-,"231,100",-,6,-,1,5
目黒,"136,224,551","95,155,300","40,862,851",-,"192,500",-,-,"13,900",-,12,2,7,3
世田谷,"77,838,955","60,621,625","14,285,600",-,"2,867,900",-,-,"63,830",-,23,2,3,18
玉川,"29,080,940","16,840,500","10,886,340",-,"1,280,000",-,-,"74,100",-,2,1,1,-
成城,"95,860,366","29,790,936","64,788,590",-,"21,000",-,-,"1,259,840",2,14,2,4,8
渋谷,"51,684,065","14,291,840","36,751,761",-,"69,100",-,-,"571,364",2,26,4,5,17
四谷,"6,194,290","3,876,700","2,257,550",-,-,-,-,60040,-,3,2,1,-
牛込,"9,596,955","7,516,541","1,842,294",-,-,-,-,"238,120",-,3,-,2,1
新宿,"47,494,500","15,667,200","26,273,600",-,"3,170,000",-,-,"2,383,700",2,24,4,9,11
中野,"33,039,817","23,981,172","9,002,145",-,46700,-,-,"9,800",-,8,-,2,6
野方,"45,722,600","35,631,900","9,830,600",-,"20,000",-,-,"240,100",-,11,2,3,6
杉並,"114,875,430","86,625,270","26,265,070",-,"1,470,500",-,-,"514,590",1,23,1,7,15
荻窪,"46,029,900","38,036,300","7,626,100",-,"367,000",-,-,500,4,9,1,1,7
小石川,"28,538,140","15,499,490","12,845,250",-,"58,000",-,-,"135,400",-,9,2,5,2
本郷,"38,425,820","16,039,800","22,117,500",-,"18,500",-,-,"250,020",-,6,-,3,3
豊島,"134,651,650","101,628,400","31,790,050",-,"1,215,000",-,-,"18,200",2,9,1,1,7
池袋,"50,584,323","32,895,063","17,452,960",-,"150,600",-,-,"85,700",1,11,1,3,7
王子,"37,554,600","26,229,500","11,077,200",-,235000,-,-,"12,900",1,11,1,3,7
赤羽,"37,864,679","19,218,615","17,341,064",-,"1,050,500",-,-,"254,500",1,8,-,3,5
滝野川,"24,277,524","21,911,216","2,247,228",-,103600,-,-,15480,-,6,1,1,4
板橋,"40,502,456","26,751,682","13,739,174",-,"10,000",-,-,"1,600",1,8,1,1,6
