政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成28年,"2,681",71,86,400,"2,124","2,986",93,98,494,"2,301","2,072",135,143,"1,794","3,985","16,652","3,787,755,715",75,763
平成29年,"2,730",83,75,442,"2,130","3,126",113,92,573,"2,348","2,406",206,216,"1,984","4,746","20,431","4,812,225,813",70,714
平成30年,"2,609",58,86,423,"2,042","2,883",74,101,511,"2,197","2,151",172,169,"1,810","4,116","18,158","5,853,910,274",80,754
令和元年,"2,811",73,81,434,"2,223","3,147",92,97,553,"2,405","2,289",203,168,"1,918","4,292","18,030","7,135,079,558",103,649
令和2年,"2,598",55,72,383,"2,088","2,911",63,84,486,"2,278","2,184",155,126,"1,903","4,153","15,802","5,430,062,736",80,658
政令用途から出火,"2,068",14,22,303,"1,729","2,160",16,24,328,"1,792","1,451",98,60,"1,293","2,450","6,170","2,235,667,997",33,455
一項・ロ・公会堂,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,2061413,-,-
二項・イ・その他（２項イ）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,540,-,-
二項・ロ・遊技場,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,14860,-,-
二項・ニ・カラオケボックス等,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"116,900",-,-
三項・ロ・飲食店,27,-,2,7,18,31,-,2,10,19,5,-,1,4,10,79,"54,762,169",-,8
四項・百貨店,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,"1,430",-,-
四項・マーケット,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,70,-,-
四項・物品販売店舗,14,1,-,2,11,16,1,-,2,13,3,-,-,3,6,66,"198,794,680",-,2
五項・イ・ホテル,8,-,-,-,8,8,-,-,-,8,-,-,-,-,-,-,241760,-,1
五項・イ・宿泊所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"12,600",-,-
五項・イ・簡易宿泊所,1,-,-,-,1,1,-,-,-,1,1,-,-,1,1,-,"2,100",-,1
五項・ロ・寄宿舎,14,-,-,2,12,14,-,-,2,12,18,2,-,16,24,30,"5,907,533",-,1
五項・ロ・共同住宅,728,1,5,114,608,757,1,5,122,629,916,62,34,820,1575,1735,"489,624,479",17,222
六項・イ・(1)・特定病院,7,-,-,-,7,7,-,-,-,7,-,-,-,-,-,-,"158,810",-,-
六項・イ・(3)・病院（特定病院以外）,10,-,-,-,10,10,-,-,-,10,-,-,-,-,-,-,"1,945,155",-,-
六項・ロ・(1)・養護老人ホーム,1,-,-,-,1,1,-,-,-,1,1,-,-,1,1,-,"169,800",-,-
六項・ロ・(1)・特別養護老人ホーム,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,"22,200",-,-
六項・ロ・(1)・有料老人ホーム（要介護者入居）,3,-,-,-,3,3,-,-,-,3,2,-,-,2,2,-,"31,100",-,-
六項・ロ・(5)・共同生活援助施設（避難困難者入所）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"6,000",-,-
六項・ハ・(1)・有料老人ホーム（要介護者入居以外）,2,-,-,1,1,2,-,-,1,1,3,-,-,3,3,-,40180,-,1
六項・ハ・(3)・保育所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,600,-,-
六項・ニ・幼稚園,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"6,000",-,-
七項・中学校,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,"20,300",-,-
七項・高等学校,4,-,-,1,3,4,-,-,1,3,-,-,-,-,-,-,"107,600",-,1
七項・大学,12,-,-,1,11,12,-,-,1,11,-,-,-,-,-,5,"2,271,600",-,-
七項・各種学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"736,500",-,-
七項・その他の学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"1,200",-,-
七項・専修学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"3,300",-,-
七項・中等教育学校,2,-,-,2,-,2,-,-,2,-,-,-,-,-,-,43,22326500,-,-
十項・停車場,18,-,-,-,18,18,-,-,-,18,-,-,-,-,-,-,104200,-,1
十一項・寺院,1,-,-,-,1,1,-,-,-,1,1,-,-,1,1,1,"20,000",-,-
十二項・イ・工場,15,-,1,2,12,15,-,1,2,12,-,-,-,-,-,120,"41,960,446",-,4
十二項・イ・作業場,25,-,1,6,18,25,-,1,6,18,1,-,-,1,3,512,"117,684,985",-,7
十二項・ロ・映画スタジオ,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,"3,140",-,-
十三項・イ・駐車場,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,"8,035",-,1
十四項・倉庫,11,2,-,2,7,15,4,1,3,7,-,-,-,-,-,296,"61,887,400",-,-
十五項・変電所,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,"2,200",-,-
十五項・官公署,7,-,-,-,7,7,-,-,-,7,-,-,-,-,-,-,"7,120,750",-,-
十五項・銀行,2,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,"3,600",-,-
十五項・事務所,57,2,1,10,44,65,2,1,10,52,-,-,-,-,-,716,"119,777,608",-,8
十五項・研究所,4,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,"801,600",-,-
十五項・その他の事業所,58,2,1,7,48,61,2,1,8,50,-,-,-,-,-,109,"48,446,710",-,8
十六項・イ・特定複合用途,708,2,5,73,628,724,2,6,81,635,187,5,6,176,344,1095,"810,686,958",3,109
十六項・ロ・非特定複合用途,294,4,6,72,212,320,4,6,76,234,313,29,19,265,480,"1,363","247,764,186",13,80
十六項の２・地下街（指定地下街）,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,"8,800",-,-
政令用途以外から出火,530,41,50,80,359,751,47,60,158,486,733,57,66,610,1703,9632,"3,180,816,739",47,203
住宅,492,35,49,73,335,700,40,57,144,459,723,57,64,602,"1,683","6,548","1,315,628,903",46,197
附属建物等,20,5,1,2,12,33,6,3,9,15,10,-,2,8,20,178,"24,648,310",1,4
空家,4,1,-,1,2,4,1,-,1,2,-,-,-,-,-,145,"11,361,600",-,-
工事中の建物,14,-,-,4,10,14,-,-,4,10,-,-,-,-,-,2761,"1,842,755,926",-,2
,,,,,,,,,,,,,,,,,,,
