#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	shugyoshanojujisurusangyobetsu_jinko2015
#download_from	http://linkdata.org/work/rdf1s7911i
#property	新宿区就業者数(単位:人)	新宿区就業者構成割合(単位:％)	全国就業者数(単位:人)	全国就業者構成割合(単位:％)	構成割合の対全国比
#object_type_xsd	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
総数	518170	100	58890810	100	1
　Ａ 農業，林業	140	0	2072890	3.7	0.01
　　01 農業	140	0	2008270	3.6	0.01
　　02 林業	0	0	64620	0.1	0
　Ｂ 漁業	0	0	152860	0.3	0
　　03 漁業（水産養殖業を除く）	0	0	110120	0.2	0
　　04 水産養殖業	0	0	42740	0.1	0
　Ｃ 鉱業，採石業，砂利採取業	40	0	23710	0	0.2
　　05 鉱業，採石業，砂利採取業	40	0	23710	0	0.2
　Ｄ 建設業	26390	5.5	4429650	7.9	0.7
　　06 建設業	26390	5.5	4429650	7.9	0.7
　Ｅ 製造業	26570	5.6	9077510	16.3	0.34
　　09 食料品製造業	2060	0.4	1155690	2.1	0.21
　　10 飲料・たばこ・飼料製造業	80	0	124650	0.2	0.07
　　11 繊維工業	1220	0.3	420690	0.8	0.34
　　12 木材・木製品製造業（家具を除く）	50	0	117960	0.2	0.05
　　13 家具・装備品製造業	280	0.1	133470	0.2	0.24
　　14 パルプ・紙・紙加工品製造業	460	0.1	217440	0.4	0.25
　　15 印刷・同関連業	10650	2.2	372950	0.7	3.33
　　16 化学工業	3800	0.8	482420	0.9	0.92
　　17 石油製品・石炭製品製造業	0	0	28510	0.1	0
　　18 プラスチック製品製造業（別掲を除く）	780	0.2	443220	0.8	0.21
　　19 ゴム製品製造業	80	0	141660	0.3	0.07
　　20 なめし革・同製品・毛皮製造業	110	0	39970	0.1	0.32
　　21 窯業・土石製品製造業	260	0.1	282980	0.5	0.11
　　22 鉄鋼業	10	0	245500	0.4	0
　　23 非鉄金属製造業	110	0	148120	0.3	0.09
　　24 金属製品製造業	360	0.1	781200	1.4	0.05
　　25 はん用機械器具製造業	380	0.1	336240	0.6	0.13
　　26 生産用機械器具製造業	440	0.1	595350	1.1	0.09
　　27 業務用機械器具製造業	1760	0.4	290730	0.5	0.71
　　28 電子部品・デバイス・電子回路製造業	820	0.2	512280	0.9	0.19
　　29 電気機械器具製造業	950	0.2	543050	1	0.2
　　30 情報通信機械器具製造業	560	0.1	213590	0.4	0.31
　　31 輸送用機械器具製造業	170	0	1075420	1.9	0.02
　　32 その他の製造業	1180	0.2	374410	0.7	0.37
　Ｆ 電気・ガス・熱供給・水道業	3460	0.7	276550	0.5	1.46
　　33 電気・ガス・熱供給・水道業	3460	0.7	276550	0.5	1.46
　Ｇ 情報通信業	68550	14.3	1658450	3	4.83
　　37 通信業	7260	1.5	143370	0.3	5.91
　　38 放送業	240	0.1	68820	0.1	0.41
　　39 情報サービス業	42780	8.9	1071740	1.9	4.66
　　40 インターネット附随サービス業	5250	1.1	106340	0.2	5.76
　　41 映像・音声・文字情報制作業	13010	2.7	268190	0.5	5.66
　Ｈ 運輸業，郵便業	9910	2.1	3000500	5.4	0.39
　　42 鉄道業	3810	0.8	222750	0.4	2
　　43 道路旅客運送業	1770	0.4	482340	0.9	0.43
　　44 道路貨物運送業	2420	0.5	1599200	2.9	0.18
　　45 水運業	90	0	52890	0.1	0.2
　　46 航空運輸業	50	0	41190	0.1	0.14
　　47 倉庫業	290	0.1	219000	0.4	0.15
　　48 運輸に附帯するサービス業	730	0.2	300390	0.5	0.28
　　49 郵便業（信書便事業を含む）	760	0.2	82750	0.1	1.07
　Ｉ 卸売業，小売業	73720	15.4	9367820	16.8	0.92
　　50 卸売業	29950	6.3	2889370	5.2	1.21
　　56 各種商品小売業	7890	1.7	461810	0.8	1.99
　　57 織物・衣服・身の回り品小売業	8500	1.8	617220	1.1	1.61
　　58 飲食料品小売業	10320	2.2	2396830	4.3	0.5
　　59 機械器具小売業	3680	0.8	858880	1.5	0.5
　　60 その他の小売業	13390	2.8	2143710	3.8	0.73
　Ｊ 金融業，保険業	26790	5.6	1417760	2.5	2.21
　　62 金融業，保険業	26790	5.6	1417760	2.5	2.21
　Ｋ 不動産業，物品賃貸業	23670	5	1179570	2.1	2.34
　　68 不動産業	21520	4.5	929900	1.7	2.7
　　70 物品賃貸業	2150	0.4	249670	0.4	1.01
　Ｌ 学術研究，専門・技術サービス業	38900	8.1	1963060	3.5	2.31
　　71 学術・開発研究機関	1810	0.4	201210	0.4	1.05
　　72 専門サービス業（他に分類されないもの）	21900	4.6	799430	1.4	3.2
　　73 広告業	5150	1.1	128380	0.2	4.68
　　74 技術サービス業（他に分類されないもの）	10030	2.1	834040	1.5	1.4
