"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","訪問介護（ホームヘルプサービス）","48","36.4","38.7"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","訪問入浴介護","0","0.0","0.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","訪問看護","22","16.7","17.7"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","訪問リハビリテーション","5","3.8","4.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","居宅療養管理指導","4","3.0","3.2"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","福祉用具貸与","3","2.3","2.4"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","特定福祉用具販売","3","2.3","2.4"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","通所介護（デイサービス）","23","17.4","18.5"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","通所リハビリテーション（デイケア）","5","3.8","4.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","短期入所生活介護（ショートステイ）","8","6.1","6.5"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","短期入所療養介護（ショートステイ）","5","3.8","4.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","定期巡回・随時対応型訪問介護看護","0","0.0","0.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","夜間対応型訪問介護","0","0.0","0.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","地域密着型通所介護","5","3.8","4.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","認知症対応型通所介護","8","6.1","6.5"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","小規模多機能型居宅介護","1","0.8","0.8"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","看護小規模多機能型居宅介護","1","0.8","0.8"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","居宅介護支援","40","30.3","32.3"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","特定施設入居者生活介護","1","0.8","0.8"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","認知症対応型共同生活介護(グループホーム)","2","1.5","1.6"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","介護老人福祉施設（特別養護老人ホーム）","8","6.1","6.5"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","介護老人保健施設","5","3.8","4.0"
"202003","事業所について","Q1-4. 貴事業所の概要について、おたずねします。事業所で提供している介護サービス事業を教えてください。（あてはまるものすべてに○）","無回答","8","6.1",

"港区保健福祉基礎調査（事業所）・単純集計表・事業所についてQ1-4","Ver202003",,,,,
