内容,対象（数値目標）,目標期間
都立公園のスポーツ施設における利用時間及び利用日の拡大,17公園28施設,平成30年度
都立公園のスポーツ施設における利用時間及び利用日の拡大,31公園56施設,平成30年度
海上公園内サイクリングルートの整備,7.5km,平成31年度
海上公園内サイクリングルートの整備,11.5km,平成36年度
東京都パラリンピック体験プログラム「ＮＯＬＩＭＩＴＳＣＨＡＬＬＥＮＧＥ」の実施,全区市町村,平成32年
シニアスポーツ振興事業を実施する地域の拡大,全区市町村,平成32年度
東京2020大会の会場のバリアフリー化,完了,平成32年
「障がい者スポーツ指導員」の資格を持つスポーツ推進委員の配置,都内全59地区,平成32年度
東京都スポーツ推進企業数,350社,平成32年度
東京都スポーツ推進モデル企業数,60社（累計）,平成32年度
地域スポーツクラブの設置,全区市町村,平成32年度
「障がい者スポーツ指導員」の資格を持つスポーツ推進委員の配置,都内全59地区,平成32年度
東京2020大会の会場のバリアフリー化,完了,平成32年
東京都スポーツ推進企業数,350社,平成32年度
東京都スポーツ推進モデル企業数,60社（累計）,平成32年度
