区分,政策指針,具体的な施策展開,関心喚起策,実行促進策,継続支援策
するスポーツ,11誰もが楽しめるスポーツへの理解促進,障害者スポーツの理解促進,○,,
するスポーツ,11誰もが楽しめるスポーツへの理解促進,ニュースポーツ等のスポーツ・レクリエーション活動の普及啓発,○,,
するスポーツ,12障害の有無に関わらないスポーツ振興,障害者スポーツの振興,,○,○
するスポーツ,12障害の有無に関わらないスポーツ振興,障害者スポーツの場の開拓,,○,○
するスポーツ,13幼児・子供のスポーツ振興,幼児・子供のスポーツ振興,,○,○
するスポーツ,14高齢者のスポーツ振興,高齢者のスポーツ振興,,○,○
するスポーツ,15性別に関わらないスポーツ振興,女性等のスポーツ振興,,○,○
みるスポーツ,16障害者スポーツの更なる魅力発信,様々な手法を活用した障害者スポーツの魅力発信,○,,
みるスポーツ,16障害者スポーツの更なる魅力発信,障害者スポーツの観戦促進,,○,
みるスポーツ,17誰もが気軽に観戦できるスポーツ環境の整備,バリアフリー化・多言語化の推進,,○,○
支えるスポーツ,18多様なスポーツの振興に向けた人材の育成,障害者スポーツやスポーツ・レクリエーションに関わる人材の育成,○,○,
支えるスポーツ,19多様なスポーツを支える基盤づくり,障害者スポーツに関する団体等の基盤強化,,,○
支えるスポーツ,19多様なスポーツを支える基盤づくり,多様な団体との連携促進,,,○
支えるスポーツ,19多様なスポーツを支える基盤づくり,障害者スポーツ振興基金,,,○
支えるスポーツ,20スポーツを通じた被災地支援,スポーツを通じた被災地の復興支援,,○,○
