性別,年齢層,スポーツを実施しなかった理由（主なもの）／仕事や家事・育児が忙しくて時間がないから（%）,スポーツを実施しなかった理由（主なもの）／機会がなかったから（%）,スポーツを実施しなかった理由（主なもの）／年をとったから（%）,スポーツを実施しなかった理由（主なもの）／体が弱いから（%）,スポーツを実施しなかった理由（主なもの）／スポーツ・運動が好きではないから（%）,スポーツを実施しなかった理由（主なもの）／お金がかかるから（%）,スポーツを実施しなかった理由（主なもの）／特に理由はない（%）,
全体（ｎ＝273）,,43.2 ,22.0 ,17.2 ,11.4 ,11.4 ,4.4 ,12.8 ,
男性,20歳代（n=13）,30.8 ,23.1 ,‐,‐,30.8 ,‐,30.8 ,
男性,30歳代（n=14）,71.4 ,35.7 ,‐,‐,‐,‐,14.3 ,
男性,40歳代（n=18）,66.7 ,22.2 ,‐,5.6 ,16.7 ,11.1 ,16.7 ,
男性,50歳代（n=35）,54.3 ,31.4 ,8.6 ,5.7 ,8.6 ,2.9 ,14.3 ,
男性,60歳代（n=23）,30.4 ,21.7 ,13.0 ,4.3 ,8.7 ,‐,21.7 ,
男性,70歳以上（n=23）,17.4 ,13.0 ,52.2 ,21.7 ,8.7 ,‐,8.7 ,
女性,20歳代（n=13）,53.8 ,46.2 ,‐,7.7 ,23.1 ,7.7 ,‐,
女性,30歳代（n=19）,73.7 ,21.1 ,‐,‐,26.3 ,5.3 ,‐,
女性,40歳代（n=20）,50.0 ,30.0 ,5.0 ,‐,15.0 ,‐,10.0 ,
女性,50歳代（n=21）,66.7 ,23.8 ,9.5 ,4.8 ,19.0 ,19.0 ,14.3 ,
女性,60歳代（n=28）,39.3 ,14.3 ,7.1 ,32.1 ,‐,3.6 ,14.3 ,
女性,70歳以上（n=44）,13.6 ,6.8 ,54.5 ,25.0 ,4.5 ,2.3 ,9.1 ,
