区分,政策目標,意見の内容,計画への反映
【具体的な取組等に関するもの】,01スポーツを通じた健康長寿の達成,スポーツを「みる」から「する」方向への誘導が重要。アスリートからスポーツをすることの良さ、面白さ等を教室等でアピールしてもらうのはどうか。,・政策指針02「スポーツを始める機会の創出」（P.55）／・政策指針25「スポーツ観戦の魅力発信」（P.151）／・政策指針30「スポーツを通じた国際交流」（P.165）
【具体的な取組等に関するもの】,01スポーツを通じた健康長寿の達成,大学キャンパスにはスポーツを活性化できる資源が存在する。大学の活用に取り組んではどうか,・政策指針03「スポーツを身近でできる場の確保」（P.59）
【具体的な取組等に関するもの】,01スポーツを通じた健康長寿の達成,スポーツをみる場所としても大学を活用してはどうか。,・政策指針03「スポーツを身近でできる場の確保」（P.59）
【具体的な取組等に関するもの】,01スポーツを通じた健康長寿の達成,外部人材を学校部活動のコーチとして雇用し、部活動の顧問の先生の負担を軽減してほしい。,・政策指針04「成長段階にある児童・生徒の体力向上」（P.66）
【具体的な取組等に関するもの】,02スポーツを通じた共生社会の実現,20代、30代女性の実施率が低いと記載があるが、具体的な取組があまりないので、もっと実施してもらいたい。,・政策指針15「性別に関わらないスポーツ振興」（P.113）
【具体的な取組等に関するもの】,02スポーツを通じた共生社会の実現,特にスポーツ実施率の低い若年層には「美容効果」や「ファッション性」など価値観やライフスタイルにあわせ、性別・世代に応じたきめ細かい動機付けを政策に盛り込んでもらいたい。,・政策指針15「性別に関わらないスポーツ振興」（P.113）
【具体的な取組等に関するもの】,02スポーツを通じた共生社会の実現,スポーツ施設に、仮設でも構わないので車いすの人が利用しやすいトイレを増設してほしい。,・政策指針17「誰もが気軽に観戦できるスポーツ環境の整備」（P.121）
【具体的な取組等に関するもの】,03スポーツを通じた地域・経済の活性化,「通勤ウオーキング」や「階段エクササイズ」など通勤時間を活用し、通勤自体を「スポーツ」として捉える「通勤スポーツ」の考え方を普及し、歩く環境の整備をしてほしい。,・「本計画におけるスポーツとは」（P.７）
【具体的な取組等に関するもの】,03スポーツを通じた地域・経済の活性化,働き盛り世代が多くの時間を過ごす職場において、「健康経営オフィス」の考えが多くの企業に広がるよう、整備と後押しをしてもらいたい。,・政策指針22「官民連携によるスポーツ気運の醸成」（P.140）
【具体的な取組等に関するもの】,03スポーツを通じた地域・経済の活性化,職場等において、運動会などのスポーツイベントの復活を、東京都として積極的に後押ししてほしい。,・政策指針22「官民連携によるスポーツ気運の醸成」（P.140）
【具体的な取組等に関するもの】,03スポーツを通じた地域・経済の活性化,（国の計画では）総合型地域スポーツクラブについて、登録・認証等の制度を構築するとしている。その基準によっては地域スポーツ活動の停滞につながる恐れがあるので、慎重に対応してほしい。,・政策指針24「地域におけるスポーツ活動の推進」（P.147）
【具体的な取組等に関するもの】,03スポーツを通じた地域・経済の活性化,スポーツ推進委員については、地域における認知度が高くない。スポーツ推進委員の活動内容を積極的に情報発信して、都民に還元してもらいたい。,・政策指針24「地域におけるスポーツ活動の推進」（P.147）
【具体的な取組等に関するもの】,03スポーツを通じた地域・経済の活性化,トップクラスのアスリートの活躍を身近で観戦することは、スポーツ実施率の向上につながるので、会場に都民を招待してもらいたい。,・政策指針25「スポーツ観戦の魅力発信」（P.151）
【記載方法等に関するもの】,,ページ数が多く、事業も多いので、事業が一覧で見られるような工夫をしてみてはどうか,・「年次計画」（P.171）
【記載方法等に関するもの】,,毎年、各事業はどのようなことを行うのかの計画があるとよい。,・「年次計画」（P.171）
【記載方法等に関するもの】,,職域における取組を推進するためにも、経営者をはじめ、都内の企業で働く従業員にも広報してほしい。,・「計画の都民への周知」（P.169）
【記載方法等に関するもの】,,障害者スポーツの政策を調べるのが大変なので、障害者スポーツだけを取り出した別冊をつくってもらいたい。,・資料１「障害者スポーツの振興」（P.188）
【記載方法等に関するもの】,,世界に誇る首都東京のスポーツ計画であるのだから、もっとスタイリッシュなデザインにしてもらいたい。,・各章や政策目標ごとの色分けとともに、写真やイラスト等を追加
【記載方法等に関するもの】,,これまでの計画には音声コードが入っていたので、今回の計画にも音声コードを入れて視覚障害者も計画を読めるようにしてほしい。,・各ページに音声コードを追加
【記載方法等に関するもの】,,外国の人にも東京都の取組を知ってもらうためにも、外国語版を作成してはどうか。,・英語に対応した本計画の概要版の作成
【その他】,,スポーツ嫌いは個性であり、スポーツが嫌いであっても良い。スポーツ嫌いが解消されるまで待つ姿勢が必要ではないか。,
【その他】,,新交通ゆりかもめの軌道の上部空間に二段又は一段の空中回廊を設け、遊歩道、自転車道として活用し、公共施設や競技会場等と直接接続してはどうか。,
【その他】,,都立公園内のスポーツ施設は建設局が所管しているが、スポーツ主管局に一元化した方がスケールメリットや効率的運営に寄与するのではないか。,
【その他】,,駒沢公園のようなスポーツに特化した公園をもっと造ってほしい。,
【その他】,,スキー・スケートを児童・生徒のうちに体験させることは重要。スキー教室を中学校だけでなく、小学校、高校でもやってほしい。,
【その他】,,高齢者が体を動かせるように、温泉施設に歩くスペースを設けてはどうか。,
【その他】,,性的マイノリティに言及されている点に先進性が感じられる。大変重要なことなので頑張って取り組んでほしい。,
【その他】,,スポーツは純粋なものであり高潔なものである。スポーツを商業化することは問題である。,
【その他】,,東京2020大会のメダリストパレードは、銀座だけでなく東京都全域で実施してほしい。,
【その他】,,東京マラソンのように、東京の魅力を伝えることができ、地域への経済波及効果が期待できるようなイベントを、もっと実施してほしい。,
【その他】,,パブリックビューイングのような場を職場や地域において設けてほしい。,
【その他】,,東京には多くのスポーツチームやアスリートが存在するので、ＴＶや新聞等を使ってファンを増やしてほしい。,
